offset_D_mm,Zr_mm,peak_abs,peak_norm_by_offset_max,snapshot_index,snapshot_Time_s,snapshot_Porosity
1,0.0,0.0,0.0,24,5769.2,0.75115
1,5.0,4.60207254375022,1.0,24,5769.2,0.75115
1,10.0,0.8324257842510621,0.1808806307022531,24,5769.2,0.75115
1,15.0,0.26351428626628187,0.057259915779498904,24,5769.2,0.75115
1,20.0,0.10681044214155132,0.023209204358719582,24,5769.2,0.75115
1,25.0,0.049926570287070336,0.01084871431565598,24,5769.2,0.75115
1,30.0,0.025652906473320712,0.005574207322776405,24,5769.2,0.75115
1,35.0,0.014113907766953782,0.003066859036396759,24,5769.2,0.75115
1,40.0,0.00818294802074551,0.0017781006150931384,24,5769.2,0.75115
1,45.0,0.004946883504153004,0.0010749251466865837,24,5769.2,0.75115
1,50.0,0.0030952860313428637,0.000672585232396298,24,5769.2,0.75115
1,55.0,0.001993740651940132,0.00043322668927670504,24,5769.2,0.75115
1,60.0,0.0013173621845630474,0.000286254110955307,24,5769.2,0.75115
1,65.0,0.0008895989645115908,0.00019330398555313916,24,5769.2,0.75115
1,70.0,0.0006123322553896648,0.00013305575902345,24,5769.2,0.75115
1,75.0,0.00042873049364628476,9.31603075724037e-05,24,5769.2,0.75115
1,80.0,0.0003048181016760687,6.623496235191309e-05,24,5769.2,0.75115
10,0.0,0.0,0.0,24,5769.2,0.75115
10,5.0,41.28736421314552,1.0,24,5769.2,0.75115
10,10.0,28.59192022623392,0.6925101849231274,24,5769.2,0.75115
10,15.0,14.76817326845247,0.35769232427170583,24,5769.2,0.75115
10,20.0,7.474148382575416,0.1810275013921987,24,5769.2,0.75115
10,25.0,3.9298049555311314,0.09518178334764991,24,5769.2,0.75115
10,30.0,2.165213487408995,0.0524425215480239,24,5769.2,0.75115
10,35.0,1.24622777563957,0.03018424158069123,24,5769.2,0.75115
10,40.0,0.7453334808393772,0.018052338652368362,24,5769.2,0.75115
10,45.0,0.46083139848393656,0.0111615601350791,24,5769.2,0.75115
10,50.0,0.2932735107277547,0.007103226769665744,24,5769.2,0.75115
10,55.0,0.1914441128664935,0.0046368693307270855,24,5769.2,0.75115
10,60.0,0.12784528192945527,0.0030964747778389422,24,5769.2,0.75115
10,65.0,0.08707558596191114,0.002109012953996881,24,5769.2,0.75115
10,70.0,0.06036463725969106,0.0014620608123119543,24,5769.2,0.75115
10,75.0,0.042519655581579455,0.0010298466950341572,24,5769.2,0.75115
10,80.0,0.030386230863586747,0.0007359692594256731,24,5769.2,0.75115
20,0.0,0.0,0.0,24,5769.2,0.75115
20,5.0,35.34820221938621,0.8790976015242896,24,5769.2,0.75115
20,10.0,40.20964470622496,1.0,24,5769.2,0.75115
20,15.0,31.6846519730078,0.7879863700487415,24,5769.2,0.75115
20,20.0,21.653082771349304,0.5385047027783644,24,5769.2,0.75115
20,25.0,13.99705727200648,0.34810198832320344,24,5769.2,0.75115
20,30.0,8.90667696244071,0.22150598513151856,24,5769.2,0.75115
20,35.0,5.6840857083787055,0.1413612517570626,24,5769.2,0.75115
20,40.0,3.6691540205125412,0.09125059540614419,24,5769.2,0.75115
20,45.0,2.40426002506898,0.05979311786101832,24,5769.2,0.75115
20,50.0,1.6016927301415471,0.039833545952560605,24,5769.2,0.75115
20,55.0,1.0845905648213314,0.02697339339219337,24,5769.2,0.75115
20,60.0,0.7459041467828733,0.01855037895093358,24,5769.2,0.75115
20,65.0,0.520568150435159,0.012946350415142279,24,5769.2,0.75115
20,70.0,0.36835026162638296,0.009160744003524053,24,5769.2,0.75115
20,75.0,0.2640243229261227,0.006566193878486283,24,5769.2,0.75115
20,80.0,0.19153725078298028,0.004763465387032578,24,5769.2,0.75115
45,0.0,0.0,0.0,24,5769.2,0.75115
45,5.0,6.142004775258077,0.5289779461857267,24,5769.2,0.75115
45,10.0,9.491395601075325,0.8174430231181483,24,5769.2,0.75115
45,15.0,11.308555864540631,0.973945295459316,24,5769.2,0.75115
45,20.0,11.611079099886691,1.0,24,5769.2,0.75115
45,25.0,10.849270683103663,0.934389524846966,24,5769.2,0.75115
45,30.0,9.513862978904312,0.8193780179309221,24,5769.2,0.75115
45,35.0,7.984912303604546,0.6876976924291618,24,5769.2,0.75115
45,40.0,6.507241411001458,0.560433819718355,24,5769.2,0.75115
45,45.0,5.196500933155548,0.4475467687758891,24,5769.2,0.75115
45,50.0,4.095251653337917,0.3527020717116535,24,5769.2,0.75115
45,55.0,3.2011497445714396,0.2756978672725327,24,5769.2,0.75115
45,60.0,2.490993110370182,0.21453588326639603,24,5769.2,0.75115
45,65.0,1.9347456249182142,0.16662926918972543,24,5769.2,0.75115
45,70.0,1.5027402094099365,0.1294229585796725,24,5769.2,0.75115
45,75.0,1.1688091370521658,0.10066326540343454,24,5769.2,0.75115
45,80.0,0.9112205304970435,0.07847853956192029,24,5769.2,0.75115
