Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,ElectrolyteConcentration_input_molL,FluidConductivity_input_S_m,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_waveform_spectral,Amax_waveform_spectral_RE,Amax_waveform_spectral_TE,Amax_waveform_spectral_norm,Amax_waveform_spectral_RE_norm,Amax_waveform_spectral_TE_norm
675.6,11.26,0.90175,0.90175,True,2608637.002730817,2.574524639237207e-09,1.0293379813944998,3.337358129222454e-05,,,0.03337358129222454,1.47659718705221,0.03437358129222454,0.0027839147059596043,3141592.653589793,45.0,340.27582874941555,0.00015333081472142422,1.2686786937675822e-11,0.38064390234718976,-279880.87957443914,-266285.2242504351,386317.3920566691,6.7282791925703066e-12,-3.84485972643306e-12,7.749366890857695e-12,4.66321909791377e+26,0.0002611025560098704,1.8559242207718847e-05,0.010076009581532043,67.17050293242835,2352307253811.5186,2352307253811.5186,283330266101.59265,0.00022658751514600492,0.0002292846321067688,2.7291970833143664e-05
700.6,11.676666666666668,0.90835,0.90835,True,2835582.9757561493,2.798502907857079e-09,1.0257847620177043,3.595132529764222e-05,,,0.035951325297642216,1.4442850952993471,0.03695132529764222,0.002868516926834047,3141592.653589793,45.0,316.42531030170426,0.00015900448925960448,1.2743063901993296e-11,0.41361180821156196,-254240.62894004604,-242839.08278000975,351580.8833387655,-3.652907093852549e-12,-4.482839503708864e-12,5.7826966246147665e-12,5.136230974268029e+26,0.00023762499222528848,1.3849191654172061e-05,0.010120705471395099,72.98819974533825,2184382615209.448,2184382615209.448,251766028565.52164,0.00021041206590102172,0.00021291664322217431,2.4251525270946007e-05
725.6,12.093333333333334,0.91465,0.91465,True,3083933.457848509,3.0436057852002614e-09,1.0194912768636681,3.878817804804436e-05,,,0.03878817804804436,1.411300619530232,0.03978817804804436,0.002944220847471563,3141592.653589793,45.0,294.76982502669773,0.00016474167664836398,1.2790825691796223e-11,0.4512231776107075,-229622.3480106804,-220187.35597117202,318133.4538138258,-7.684246833183412e-12,-4.36691581050237e-12,8.838416322470042e-12,2.7172219277579997e+26,0.00021501868580344174,2.1167446524553697e-05,0.01015863849999009,79.62530750652765,2039964112769.3953,2039964112769.3953,224522650143.48828,0.00019650086040013488,0.0001988398498323125,2.162728925295622e-05
750.6,12.51,0.9194,0.9194,True,3518957.568298304,3.4729412158649376e-09,1.0115819169810163,4.430184939095049e-05,,,0.044301849390950485,1.3535781436748995,0.045301849390950485,0.0030507364572843524,3141592.653589793,45.0,261.70137818497363,0.00017484047939913622,1.2652570457129733e-11,0.520457507810104,-193709.25455974654,-186637.72890944418,268992.4109609189,-8.776277960679056e-12,-3.978499109488396e-12,9.635948837935001e-12,1.7738721690465792e+26,0.0001818054467474005,2.3077486316385934e-05,0.010048834412001542,91.84277572552855,1800727413257.8877,1800727413257.8877,183806427072.73782,0.00017345623084070598,0.00017552091539249686,1.7705272774546376e-05
775.6,12.926666666666668,0.92495,0.92495,True,3635303.9715338172,3.587766192089261e-09,1.0105206456857463,4.80792745519313e-05,,,0.0480792745519313,1.3180420938437116,0.0490792745519313,0.0030998460226082077,3141592.653589793,45.0,255.12260026405548,0.00017708041338921018,1.2784564585622048e-11,0.5678545332356907,-177488.6874832202,-171434.85619643106,246763.33622239588,8.562723330675915e-12,-3.0225300834066144e-12,9.080524155730198e-12,1.5844098759769714e+26,0.00016678135424909692,2.1747279429763315e-05,0.01015366584882854,100.20671382017818,1669784149895.4543,1669784149895.4543,162612363457.11887,0.00016084303644514934,0.00016275758359633478,1.566374091142428e-05
800.6,13.343333333333334,0.93035,0.93035,True,3787808.5163548687,3.7382764807290514e-09,1.009288047937797,4.922411343517541e-05,,,0.04922411343517541,1.3078220971030692,0.05022411343517541,0.0031116432653598325,3141592.653589793,45.0,246.58111566674745,0.0001801213058552974,1.2705970102071272e-11,0.5852068520019964,-169413.72156926643,-163875.64535231647,235703.70424663913,2.362775221949149e-12,-3.4812452069566245e-12,4.207347732291131e-12,3.1801146433936915e+26,0.0001593064172238051,1.007633097199316e-05,0.010091245097758666,103.2687988066689,1609671684853.4084,1609671684853.4084,154129693863.35315,0.0001550526644343892,0.00015689828761794434,1.4846642285408669e-05
825.6,13.76,0.93535,0.93535,True,3903590.021488279,3.852543945854283e-09,1.0089356932232831,5.0347890851196886e-05,,,0.05034789085119688,1.298018717977743,0.051347890851196884,0.00312198239504,3141592.653589793,45.0,240.63736467522648,0.0001823322377641126,1.266594790049764e-11,0.6017265319523981,-162847.16716168373,-157715.9340778229,226701.38004570137,-4.566280418781565e-12,-3.546446064492047e-12,5.78171225082147e-12,2.1872663372751128e+26,0.00015322196462802455,1.3846834141370045e-05,0.010059458949815064,106.18395179797866,1554366138597.388,1554366138597.388,146486940060.62207,0.00014972532197959768,0.0001515075327298537,1.41104490903116e-05
850.6,14.176666666666668,0.9409,0.9409,True,3993268.546480948,3.941049771679181e-09,1.0087329850526607,5.19211462927601e-05,,,0.051921146292760095,1.2846557279348656,0.052921146292760096,0.0031345340075360738,3141592.653589793,45.0,236.6766026649418,0.00018385156462276254,1.2689483215508597e-11,0.62396807945424,-155922.2039981213,-151212.18003445427,217202.34135571367,-4.14997744099346e-12,-3.3842657396361907e-12,5.35495726941214e-12,2.221199816100334e+26,0.00014680179475581593,1.2824783027404822e-05,0.010078151000112726,110.10881680299205,1493076566181.7175,1493076566181.7175,137814255232.4429,0.000143821564340996,0.00014553350147159097,1.3275047124145222e-05
875.6,14.593333333333334,0.94505,0.94505,True,4056483.427153755,4.003438010321894e-09,1.0081763711181384,5.3632409495173966e-05,,,0.05363240949517396,1.2705726914398434,0.054632409495173964,0.003145836330403295,3141592.653589793,45.0,234.14514852947187,0.00018484274597787212,1.2730176542249967e-11,0.6473430766490126,-149736.79297774483,-145380.56496392124,208702.21810150685,-3.510817243259186e-13,-3.78157341321078e-12,3.797835680576279e-12,2.948588072561648e+26,0.0001410567676001481,9.095575581030554e-06,0.0101104701643081,114.23369653424507,1440484997744.7183,1440484997744.7183,130213622853.6057,0.00013875564755208084,0.00014040728405188244,1.2542911302403212e-05
900.6,15.01,0.95045,0.95,False,4110885.2679113466,4.057128454528451e-09,1.0078800141092665,5.4822266686840164e-05,,,0.05482226668684016,1.2610430120428564,0.05582226668684016,0.003152362920843986,3141592.653589793,45.0,232.32503625279836,0.00018556539341597962,1.2777446170839959e-11,0.6651017912862297,-145151.621083729,-141075.93970397918,202413.96657986625,-1.8038037618751442e-12,-4.243440491766689e-12,4.610910454402692e-12,2.3546155131142817e+26,0.0001368066909044231,1.1042838095886197e-05,0.010148012312129136,117.36749635675562,,,,,,
