z_m,z_mm,side,distance_from_interface_m,distance_from_interface_mm,peak_abs,peak_signed,peak_time_s,peak_time_us,liu_dipole_peak_distance_m,liu_dipole_peak_distance_mm
-0.1,-100.0,R_E,0.1,100.0,82936308453827.81,-82936308453827.81,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.099,-99.0,R_E,0.099,99.0,83308519768506.31,-83308519768506.31,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.098,-98.0,R_E,0.098,98.0,83685330089284.64,-83685330089284.64,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.097,-97.0,R_E,0.097,97.0,84066749538579.1,-84066749538579.1,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.096,-96.0,R_E,0.096,96.0,84452784353263.81,-84452784353263.81,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.095,-95.0,R_E,0.095,95.0,84843436559731.05,-84843436559731.05,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.094,-94.0,R_E,0.094,94.0,85238703626498.06,-85238703626498.06,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.093,-93.0,R_E,0.093,93.0,85638578092840.89,-85638578092840.89,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.092,-92.0,R_E,0.092,92.0,86043047171841.84,-86043047171841.84,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.091,-91.0,R_E,0.091,91.0,86452092326119.14,-86452092326119.14,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.09,-90.0,R_E,0.09,90.0,86865688814394.28,-86865688814394.28,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.089,-89.0,R_E,0.089,89.0,87283805206925.94,-87283805206925.94,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.088,-88.0,R_E,0.088,88.0,87706402867704.62,-87706402867704.62,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.087,-87.0,R_E,0.087,87.0,88133435401158.92,-88133435401158.92,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.086,-86.0,R_E,0.086,86.0,88564848060973.27,-88564848060973.27,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.08499999999999999,-84.99999999999999,R_E,0.08499999999999999,84.99999999999999,89000577118451.5,-89000577118451.5,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.08399999999999999,-83.99999999999999,R_E,0.08399999999999999,83.99999999999999,89440549187687.7,-89440549187687.7,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.08299999999999999,-82.99999999999999,R_E,0.08299999999999999,82.99999999999999,89884680504619.02,-89884680504619.02,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.08199999999999999,-81.99999999999999,R_E,0.08199999999999999,81.99999999999999,90332876156838.27,-90332876156838.27,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.08099999999999999,-80.99999999999999,R_E,0.08099999999999999,80.99999999999999,90785029260831.67,-90785029260831.67,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
-0.07999999999999999,-79.99999999999999,R_E,0.07999999999999999,79.99999999999999,91241020083080.6,-91241020083080.6,5.790349359143388e-05,57.90349359143388,0.03181980515339464,31.819805153394636
