z_m,z_mm,side,distance_from_interface_m,distance_from_interface_mm,peak_abs,peak_signed,peak_time_s,peak_time_us,liu_dipole_peak_distance_m,liu_dipole_peak_distance_mm,include_in_quantitative_summary,interface_value_policy
-0.02,-20.0,R_E,0.02,20.0,2.2344215628688866e-07,-2.2344215628688866e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.019,-19.0,R_E,0.019,19.0,2.405008925807316e-07,-2.405008925807316e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.018,-18.0,R_E,0.018,18.0,2.5933408285242735e-07,-2.5933408285242735e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.016999999999999998,-16.999999999999996,R_E,0.016999999999999998,16.999999999999996,2.801730911914497e-07,-2.801730911914497e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.015999999999999997,-15.999999999999996,R_E,0.015999999999999997,15.999999999999996,3.0328638290258514e-07,-3.0328638290258514e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.014999999999999996,-14.999999999999996,R_E,0.014999999999999996,14.999999999999996,3.2898704932360775e-07,-3.2898704932360775e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.013999999999999995,-13.999999999999995,R_E,0.013999999999999995,13.999999999999995,3.5764233470055587e-07,-3.5764233470055587e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.012999999999999994,-12.999999999999995,R_E,0.012999999999999994,12.999999999999995,3.896858566936464e-07,-3.896858566936464e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.011999999999999993,-11.999999999999993,R_E,0.011999999999999993,11.999999999999993,4.2563350503237444e-07,-4.2563350503237444e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.010999999999999992,-10.999999999999993,R_E,0.010999999999999992,10.999999999999993,4.661044400955529e-07,-4.661044400955529e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.009999999999999992,-9.999999999999991,R_E,0.009999999999999992,9.999999999999991,5.118492754459918e-07,-5.118492754459918e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.00899999999999999,-8.999999999999991,R_E,0.00899999999999999,8.999999999999991,5.637885472627154e-07,-5.637885472627154e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.00799999999999999,-7.999999999999989,R_E,0.00799999999999999,7.999999999999989,6.230661682484369e-07,-6.230661682484369e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.006999999999999989,-6.9999999999999885,R_E,0.006999999999999989,6.9999999999999885,6.911251061598373e-07,-6.911251061598373e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.005999999999999988,-5.999999999999988,R_E,0.005999999999999988,5.999999999999988,7.698166643786583e-07,-7.698166643786583e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.004999999999999987,-4.999999999999987,R_E,0.004999999999999987,4.999999999999987,8.615616242716431e-07,-8.615616242716431e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.003999999999999986,-3.9999999999999862,R_E,0.003999999999999986,3.9999999999999862,9.695932302585733e-07,-9.695932302585733e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.0029999999999999853,-2.9999999999999853,R_E,0.0029999999999999853,2.9999999999999853,1.0983324465476742e-06,-1.0983324465476742e-06,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.0019999999999999844,-1.9999999999999845,R_E,0.0019999999999999844,1.9999999999999845,1.2539823883134863e-06,-1.2539823883134863e-06,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.0009999999999999835,-0.9999999999999836,R_E,0.0009999999999999835,0.9999999999999836,1.4454948655360523e-06,-1.4454948655360523e-06,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
0.0,0.0,interface,0.0,0.0,7.378516733354752e-07,-7.378516733354752e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,False,plot_only_linear_interpolation
0.0010000000000000182,1.0000000000000182,T_E,0.0010000000000000182,1.0000000000000182,1.5256042604704566e-07,-1.5256042604704566e-07,7.179316096747288e-05,71.79316096747289,0.0,0.0,True,physical_receiver_sample
0.002000000000000019,2.000000000000019,T_E,0.002000000000000019,2.000000000000019,1.2573599222390385e-07,-1.2573599222390385e-07,7.179316096747288e-05,71.79316096747289,0.0,0.0,True,physical_receiver_sample
0.00300000000000002,3.00000000000002,T_E,0.00300000000000002,3.00000000000002,1.0457033667842668e-07,-1.0457033667842668e-07,7.179316096747288e-05,71.79316096747289,0.0,0.0,True,physical_receiver_sample
0.004000000000000021,4.000000000000021,T_E,0.004000000000000021,4.000000000000021,8.770604484170927e-08,-8.770604484170927e-08,7.179316096747288e-05,71.79316096747289,0.0,0.0,True,physical_receiver_sample
0.005000000000000022,5.000000000000022,T_E,0.005000000000000022,5.000000000000022,7.41254660478135e-08,-7.41254660478135e-08,7.179316096747288e-05,71.79316096747289,0.0,0.0,True,physical_receiver_sample
0.006000000000000023,6.000000000000023,T_E,0.006000000000000023,6.000000000000023,6.307325496283845e-08,-6.307325496283845e-08,7.179316096747288e-05,71.79316096747289,0.0,0.0,True,physical_receiver_sample
0.0070000000000000236,7.000000000000024,T_E,0.0070000000000000236,7.000000000000024,5.3988663780911236e-08,-5.3988663780911236e-08,7.179316096747288e-05,71.79316096747289,0.0,0.0,True,physical_receiver_sample
0.008000000000000024,8.000000000000025,T_E,0.008000000000000024,8.000000000000025,4.6539285371488936e-08,-4.6539285371488936e-08,7.192660550458715e-05,71.92660550458714,0.0,0.0,True,physical_receiver_sample
0.009000000000000025,9.000000000000025,T_E,0.009000000000000025,9.000000000000025,4.068527077620308e-08,-4.068527077620308e-08,7.192660550458715e-05,71.92660550458714,0.0,0.0,True,physical_receiver_sample
0.010000000000000026,10.000000000000027,T_E,0.010000000000000026,10.000000000000027,3.568915695237223e-08,-3.568915695237223e-08,7.192660550458715e-05,71.92660550458714,0.0,0.0,True,physical_receiver_sample
0.011000000000000027,11.000000000000027,T_E,0.011000000000000027,11.000000000000027,3.140355824880916e-08,-3.140355824880916e-08,7.192660550458715e-05,71.92660550458714,0.0,0.0,True,physical_receiver_sample
0.012000000000000028,12.000000000000028,T_E,0.012000000000000028,12.000000000000028,2.7710250253382933e-08,-2.7710250253382933e-08,7.192660550458715e-05,71.92660550458714,0.0,0.0,True,physical_receiver_sample
0.013000000000000029,13.000000000000028,T_E,0.013000000000000029,13.000000000000028,2.4513839890729397e-08,-2.4513839890729397e-08,7.192660550458715e-05,71.92660550458714,0.0,0.0,True,physical_receiver_sample
0.01400000000000003,14.00000000000003,T_E,0.01400000000000003,14.00000000000003,2.173682924801794e-08,-2.173682924801794e-08,7.192660550458715e-05,71.92660550458714,0.0,0.0,True,physical_receiver_sample
0.01500000000000003,15.00000000000003,T_E,0.01500000000000003,15.00000000000003,1.9315804275248054e-08,-1.9315804275248054e-08,7.192660550458715e-05,71.92660550458714,0.0,0.0,True,physical_receiver_sample
0.01600000000000003,16.000000000000032,T_E,0.01600000000000003,16.000000000000032,1.719850113439093e-08,-1.719850113439093e-08,7.192660550458715e-05,71.92660550458714,0.0,0.0,True,physical_receiver_sample
0.017000000000000032,17.000000000000032,T_E,0.017000000000000032,17.000000000000032,1.5341687455143147e-08,-1.5341687455143147e-08,7.206005004170141e-05,72.06005004170142,0.0,0.0,True,physical_receiver_sample
0.018000000000000033,18.000000000000032,T_E,0.018000000000000033,18.000000000000032,1.3816527534270676e-08,-1.3816527534270676e-08,7.206005004170141e-05,72.06005004170142,0.0,0.0,True,physical_receiver_sample
0.019000000000000034,19.000000000000036,T_E,0.019000000000000034,19.000000000000036,1.2460819962657471e-08,-1.2460819962657471e-08,7.206005004170141e-05,72.06005004170142,0.0,0.0,True,physical_receiver_sample
0.020000000000000035,20.000000000000036,T_E,0.020000000000000035,20.000000000000036,1.1253643602057926e-08,-1.1253643602057926e-08,7.206005004170141e-05,72.06005004170142,0.0,0.0,True,physical_receiver_sample
