Pe_label,pH0,pH_crossing_time_min,nearest_sample_time_min_to_pH0,nearest_sample_abs_pH_error_to_pH0,L_min_time_min,L_min_pH,L_min_abs_pH_error_to_pH0,L_min_zeta,L_min_abs,L_min_norm,sigma_at_L_min_abs,sigma_at_L_min_norm,Porosity_at_L_min,Permeability_factor_at_L_min
Pe0.1,1.5,103.36679153778819,103.82779482658148,0.04835145952411102,103.82779482658148,1.451648540475889,0.04835145952411102,0.000251314567775034,1.0440514024327161e-12,0.0007538173459270903,0.4280490383368394,75.48840295379452,0.95,200.56324747262136
Pe1,1.5,9.305355034859495,9.285882534512414,0.0012191646691459557,9.285882534512414,1.501219164669146,0.0012191646691459557,-6.6301882193411554e-06,3.144066580937911e-14,2.270052883303792e-05,0.35313637135063675,62.27721197813473,0.8896,120.49263362277115
Pe10,1.5,0.8439006089544961,0.8404763218959095,0.0030722414911847906,0.8404763218959095,1.5030722414911848,0.0030722414911847906,-1.6735372242232686e-05,1.6675724456372377e-13,0.0003713038685312952,0.30446829738551395,38.218146809887635,0.7999,17.708312922869233
Pe0.1,2.0,97.25764031085707,96.96736671812832,0.02383619023353356,96.96736671812832,2.0238361902335336,0.02383619023353356,-0.00018833232560782834,9.55652850526157e-13,0.0007589918112326683,0.12187356777200743,21.50647571407827,0.95,129.51462546072835
Pe1,2.0,6.297459165465955,6.2426226521850845,0.011175585213747397,6.2426226521850845,2.0111755852137474,0.011175585213747397,-8.765877426885794e-05,6.285656770874118e-13,0.0004992149561640862,0.10196475253188234,17.99325739021049,0.8219,35.093226233769855
Pe10,2.0,0.28183980266246694,0.2861319518087972,0.005276763831776554,0.2861319518087972,1.9947232361682234,0.005276763831776554,4.0995379154783805e-05,6.337455497250607e-13,0.0019193563547710896,0.0778375849405708,9.771346553613618,0.6412,3.029758094271198
Pe0.1,2.5,92.15796236650516,92.2332347765352,0.008419766429698328,92.2332347765352,2.4915802335703017,0.008419766429698328,8.311392300576336e-05,6.221979498295444e-13,0.0005490640346909028,0.04932403155730702,8.708667638852717,0.95,59.73761542928084
Pe1,2.5,4.268608861612853,4.320563779136241,0.023231014226856583,4.320563779136241,2.4767689857731434,0.023231014226856583,0.00022800159070896948,2.4449530281973198e-12,0.0021575702044737024,0.03627219933577844,6.404231741999671,0.74885,10.70668874454289
Pe10,2.5,0.017288041416695488,0.0083333333333333,0.06373132883258537,0.0083333333333333,2.5637313288325854,0.06373132883258537,-0.0006463037286587044,1.252900999070544e-11,0.05930600456673547,0.021162765499688693,2.6567914063423848,0.5457,1.0207047044914028
Pe0.1,3.0,88.35753833527998,88.59662528518865,0.031553425101238375,88.59662528518865,2.9684465748987616,0.031553425101238375,0.0003601676424847956,3.833853340316799e-12,0.0038061196714441977,0.02399718748796163,4.238880034666105,0.9388,28.547473001930744
Pe1,3.0,3.4369949769297663,3.3595343426118225,0.06963996144797635,3.519705915365892,2.925639821894882,0.07436017810511819,0.0008403445050914492,1.1017068813792544e-11,0.010937372428643843,0.017050817502807153,3.011868366799344,0.71345,5.773473792451681
Pe10,3.0,0.004805659255908213,0.0016666666666666,0.38820029732235994,12.031522322189655,1.0044233660895832,1.9955766339104168,0.005987308369918824,2.2927622511243733e-11,0.24831101457638208,1.1962589643831396,150.18029969541877,0.95,247.8952436523399
