Pe_label,pH0,Time_s,Time_min,Porosity_used,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,cH_molL,pH,C_molL,zeta,omega_t,Lambda_m,debye_d,L_abs,sigma_abs,L_over_sigma,Amax_waveform_schakel2011_RE,Amax_waveform_schakel2011_TE,L_abs_norm,sigma_abs_norm,L_over_sigma_norm
Pe0.1,1.5,0.1,0.0016666666666666,0.545,18827.43472957173,1.858123401384354e-11,1.2186342353765107,1.6267913937245272e-38,1e-07,7.0,0.0010001,-0.07149880574988629,24068.475044878847,1.8231428818605688e-05,9.659384446620077e-09,1.3850190740154412e-09,0.005670394677694304,2.4425443954786895e-07,0.001307619358998,0.0011619607240691,1.0,1.0,1.0
Pe0.1,1.5,0.5,0.0083333333333333,0.545,18827.43472957173,1.858123401384354e-11,1.2186339845951786,2.7458628976718943e-28,1e-07,7.0,0.0010001,-0.07149880574988629,24068.479997903552,1.823142694269325e-05,9.659384446620077e-09,1.3850195015585506e-09,0.005670395846316999,2.4425446460817016e-07,0.0013076196783071,0.0011619607699011,1.0000003086911347,1.0000002060919497,1.0000001025991636
Pe0.1,1.5,2.1,0.035,0.545,18827.43472957173,1.858123401384354e-11,1.2186338597214024,9.925799138310496e-25,1e-07,7.0,0.0010001,-0.07149880574988629,24068.482464207897,1.8231426008603436e-05,9.659384446620077e-09,1.3850197144489704e-09,0.00567039642821986,2.442544770866713e-07,0.0013076198374051,0.001161960792862,1.000000462400512,1.000000308713177,1.0000001536872878
Pe0.1,1.5,8.5,0.1416666666666666,0.54555,18923.485038842853,1.867602830203542e-11,1.2182294751775744,1.0730033978873877e-23,1e-07,7.0,0.0010001,-0.07149880574988629,23978.44046738058,1.8265624558648362e-05,9.659384446620077e-09,1.3842808208976033e-09,0.005677971691064904,2.437984717458113e-07,0.001305579739396,0.0011584982090817,0.9994669725986534,1.001336240914659,0.9981332261435998
Pe0.1,1.5,34.1,0.5683333333333334,0.5468,19130.82222015857,1.8880654197232228e-11,1.2216493230406549,2.062130647395441e-23,1e-07,7.0,0.0010001,-0.07149880574988629,23706.361849274792,1.8370143081084295e-05,9.659384446620077e-09,1.3756960606945308e-09,0.0056749553482751125,2.4241531012445233e-07,0.0012958917097249,0.0011502510592316,0.9932686751425877,1.0008042950870333,0.9924704360468495
Pe0.1,1.5,127.26332419954542,2.121055403325757,0.55355,19853.32639671652,1.959371040342458e-11,1.2272634143848988,3.6885047480988994e-23,1e-07,7.0,0.0010001,-0.07149880574988629,23019.844332845074,1.86420557431132e-05,9.659384446620077e-09,1.366085492325192e-09,0.005718485854543499,2.3888937160521233e-07,0.0012738764123712,0.0011207562865596,0.9863297321708668,1.0084810986858415,0.9780349214835656
Pe0.1,1.5,180.630614633016,3.0105102438836,0.55785,20205.406755241336,1.9941186712725076e-11,1.232017214412558,5.409033839402508e-23,1e-07,7.0,0.0010001,-0.07149880574988629,22706.47200824433,1.8770254570965404e-05,9.659384446620077e-09,1.3620181557626868e-09,0.00574055788428724,2.3726233289812003e-07,0.0012622117105647,0.0011053250579639,0.9833930675148969,1.0123736019414906,0.9713736763078216
Pe0.1,1.5,237.0881248563155,3.9514687476052575,0.5621,20733.464254701044,2.04623389626816e-11,1.2324635196409814,7.778277615417634e-23,1e-07,7.0,0.0010001,-0.07149880574988629,22288.67427460423,1.8945360548871885e-05,9.659384446620077e-09,1.3592168408245789e-09,0.005782044990199194,2.3507545221950152e-07,0.0012506524869629,0.0010864560109654,0.9813704853059846,1.0196900425545492,0.9624203869319291
Pe0.1,1.5,297.5174599715749,4.958624332859582,0.56705,21079.570847754003,2.080391962364918e-11,1.233639282023712,1.0504667376981909e-22,1e-07,7.0,0.0010001,-0.07149880574988629,22094.69433006436,1.9028344023485912e-05,9.659384446620077e-09,1.3639050750634441e-09,0.005827331848572248,2.340530984858214e-07,0.001244634371155,0.001071743285937,0.9847554453594755,1.0276765868688629,0.9582347773046381
Pe0.1,1.5,344.7212170514547,5.745353617524245,0.57125,21424.730546170504,2.1144565772237398e-11,1.2305909201499234,1.2466045619077013e-22,1e-07,7.0,0.0010001,-0.07149880574988629,21954.003842908456,1.9089217468048597e-05,9.659384446620077e-09,1.3730180885172906e-09,0.0058849826068694796,2.3330877595365885e-07,0.0012429918842758,0.0010588969816206,0.991335147852255,1.0378435614048707,0.9551874528279968
