Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,ElectrolyteConcentration_input_molL,FluidConductivity_input_S_m,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_waveform_spectral,Amax_waveform_spectral_norm,Amax_proxy,Amax_proxy_norm
0.1,0.0016666666666666668,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863423537651,0.0,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,44162.33953188787,1.823142881860567e-05,1.7056010752602644e-09,0.0056668312089938715,-6790175935.602877,-1368361126.4516468,6926680403.254103,3.482901763884609e-07,-4.139494469294855e-06,4.154120906797417e-06,7.768777994461359e+26,1.0,1.0,1.0,1.0,2042884096010.1438,1.0,2042884096010.1438,1.0
0.2,0.0033333333333333335,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863423537651,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,44162.33953188787,1.823142881860567e-05,1.7056010752602644e-09,0.0056668312089938715,-6790175935.602877,-1368361126.4516468,6926680403.254103,3.482901763884609e-07,-4.139494469294855e-06,4.154120906797417e-06,7.768777994461359e+26,1.0,1.0,1.0,1.0,2042884096010.1438,1.0,2042884096010.1438,1.0
0.4,0.006666666666666667,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863398459518,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,44162.34862000653,1.8231426942693248e-05,1.705601601771503e-09,0.005666832376516574,-6790174578.066335,-1368361653.2279978,6926679176.534971,3.380341999638702e-07,-4.140830725875846e-06,4.154605422985762e-06,7.767869397643264e+26,0.9999998228994179,1.0001166350713462,1.000000308695419,1.0000002060274358,2042885128944.2485,1.000000505625408,2042885128944.2485,1.000000505625408
0.8,0.013333333333333334,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863398459518,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,44162.34862000653,1.8231426942693248e-05,1.705601601771503e-09,0.005666832376516574,-6790174578.066335,-1368361653.2279978,6926679176.534971,3.380341999638702e-07,-4.140830725875846e-06,4.154605422985762e-06,7.767869397643264e+26,0.9999998228994179,1.0001166350713462,1.000000308695419,1.0000002060274358,2042885128944.2485,1.000000505625408,2042885128944.2485,1.000000505625408
1.6,0.02666666666666667,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.2186338597214,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,44162.35314533574,1.8231426008603403e-05,1.7056018639420307e-09,0.0056668329578717265,-6790173902.578885,-1368361915.0267348,6926678566.077612,3.3301213148569853e-07,-4.141761835645949e-06,4.155127938214412e-06,7.766891311347285e+26,0.9999997347681163,1.0002424174547608,1.0000004624069354,1.0000003086165425,2042885643213.7288,1.0000007573623917,2042885643213.7288,1.0000007573623917
3.2,0.05333333333333334,0.5451,0.5451,True,18833.8181813924,1.8587533991179785e-11,1.21871261371758,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,44144.532118315125,1.8233432910431657e-05,1.7054603306236326e-09,0.005667505035909532,-6791859766.535736,-1368624626.7904148,6928383105.555298,3.3783747800773857e-07,-4.142938480671316e-06,4.15669019968698e-06,7.765413464978896e+26,1.0002458179390514,1.0006184925636996,0.9999174809170366,1.0001189071794818,2042697915409.3694,0.9999088638454144,2042697915409.3694,0.9999088638454144
6.4,0.10666666666666667,0.54545,0.54545,True,18923.4850388429,1.8676028302035464e-11,1.21822216091196,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,43953.04634793027,1.8267244006151798e-05,1.7035352226034094e-09,0.005673402894087003,-6780366652.312931,-1370104415.0887773,6917409778.814829,3.4388464125928227e-07,-4.133736093908847e-06,4.148015277283679e-06,7.763087833551571e+26,0.9986616064406669,0.9985302234454112,0.9987887832114906,1.0011596754607235,2041879425236.0095,0.9995082096061659,2041879425236.0095,0.9995082096061659
12.8,0.21333333333333335,0.54565,0.54565,True,18974.5653238366,1.8726440625466387e-11,1.21910831589282,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,43802.86007188395,1.8295179698464032e-05,1.7000088788424565e-09,0.00567133768194813,-6780081763.990611,-1368437464.6847193,6916800548.024409,3.4923129171739337e-07,-4.12320566355118e-06,4.13796899928638e-06,7.784269245675544e+26,0.998573652218016,0.9961118350010931,0.9967212752741994,1.0007952368419066,2036630020394.7698,0.9969386047756754,2036630020394.7698,0.9969386047756754
25.6,0.4266666666666667,0.5465,0.5465,True,19083.7851282926,1.8834232195305457e-11,1.22071961746299,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,43494.68158564817,1.8345596297331538e-05,1.6944167319299236e-09,0.005672638731367909,-6788722925.690109,-1367719083.2767715,6925129201.144909,3.503786686834779e-07,-4.118623425500363e-06,4.133500227718483e-06,7.803261196068778e+26,0.9997760540375928,0.9950360907779088,0.9934425795735182,1.0010248271317523,2028527718088.335,0.9929724951357507,2028527718088.335,0.9929724951357507
51.2,0.8533333333333334,0.5486,0.5486,True,19407.8067693067,1.915401670252651e-11,1.22119785160067,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,42751.77065033158,1.8468857845640457e-05,1.685676775932601e-09,0.005692119080215671,-6781573636.119199,-1372504643.4687102,6919068577.377315,3.564845889783478e-07,-4.107802672748112e-06,4.123241935712188e-06,7.799294990697698e+26,0.9989010860277007,0.9925666652998226,0.9883183121676778,1.004462435934507,2020398886116.219,0.9889933991175321,2020398886116.219,0.9889933991175321
