Pe_label,n_steps,Time_start_s,Time_end_s,Porosity_start,Porosity_end,Permeability_start_mD,Permeability_end_mD,Tortuosity_start,Tortuosity_end,OutletHConc_start,OutletHConc_end,RE_peak_abs_max_mV,RE_peak_abs_max_Time_s,RE_peak_abs_max_Porosity,TE_peak_abs_max_mV,TE_peak_abs_max_Time_s,TE_peak_abs_max_Porosity
Pe0.1,113,0.1,11896.314701935207,0.545,0.95,18827.43472957173,4667231.381371309,1.2186342353765107,1.0037057458225285,1.6267913937245272e-38,9.996816539501646e-05,1.3076198374051,2.1,0.545,1.1619607928620002,2.1,0.545
Pe1,84,0.1,1748.8294533610244,0.545,0.95,18827.4342673194,4667231.38137131,1.2186342353923163,1.0037057458225245,8.503275754274517e-18,9.989589793530068e-05,1.3076257367892998,0.3,0.545,1.1619616537981001,0.3,0.545
Pe10,113,0.1,721.8913393313794,0.545,0.95,18827.4341718184,4667231.381371313,1.2186342353756738,1.003705747137274,4.090719515668093e-07,9.898665164441524e-05,0.2852431861655,0.1,0.545,0.18219504121,0.1,0.545
