z_m,z_mm,side,distance_from_interface_m,distance_from_interface_mm,peak_abs,peak_signed,peak_time_s,peak_time_us,liu_dipole_peak_distance_m,liu_dipole_peak_distance_mm,include_in_quantitative_summary,interface_value_policy
-0.02,-20.0,R_E,0.02,20.0,2.1195559302480875e-07,-2.1195559302480875e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.019,-19.0,R_E,0.019,19.0,2.2814516359224903e-07,-2.2814516359224903e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.018,-18.0,R_E,0.018,18.0,2.460196379033041e-07,-2.460196379033041e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.016999999999999998,-16.999999999999996,R_E,0.016999999999999998,16.999999999999996,2.657988000154921e-07,-2.657988000154921e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.015999999999999997,-15.999999999999996,R_E,0.015999999999999997,15.999999999999996,2.8773768512812906e-07,-2.8773768512812906e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.014999999999999996,-14.999999999999996,R_E,0.014999999999999996,14.999999999999996,3.12133727387665e-07,-3.12133727387665e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.013999999999999995,-13.999999999999995,R_E,0.013999999999999995,13.999999999999995,3.3933580815888496e-07,-3.3933580815888496e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.012999999999999994,-12.999999999999995,R_E,0.012999999999999994,12.999999999999995,3.69755860779469e-07,-3.69755860779469e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.011999999999999993,-11.999999999999993,R_E,0.011999999999999993,11.999999999999993,4.03883965623836e-07,-4.03883965623836e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.010999999999999992,-10.999999999999993,R_E,0.010999999999999992,10.999999999999993,4.423082840420169e-07,-4.423082840420169e-07,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
