Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,ElectrolyteConcentration_input_molL,FluidConductivity_input_S_m,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_waveform_spectral,Amax_waveform_spectral_norm
0.1,0.0016666666666666668,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863423537651,0.0,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.475044878887,1.823142881860567e-05,1.2591082491049487e-09,0.0056668312089938715,-13706093185.5836,1408760667.925539,13778301674.422548,2.240090087234363e-07,-3.882205587957746e-06,3.88866304314987e-06,1.4130646987802457e+27,1.0,1.0,1.0,1.0,5.254724162815004e+16,1.0
0.2,0.0033333333333333335,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863423537651,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.475044878887,1.823142881860567e-05,1.2591082491049487e-09,0.0056668312089938715,-13706093185.5836,1408760667.925539,13778301674.422548,2.240090087234363e-07,-3.882205587957746e-06,3.88866304314987e-06,1.4130646987802457e+27,1.0,1.0,1.0,1.0,5.254724162815004e+16,1.0
0.4,0.006666666666666667,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863398459518,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.47999790356,1.8231426942693248e-05,1.2591086377804992e-09,0.005666832376516574,-13706092247.305374,1408758714.643602,13778300541.34866,2.4426941892410184e-07,-3.879678629270928e-06,3.887360777628321e-06,1.4135372332402491e+27,0.9999999177638932,0.9996651122745533,1.0000003086911318,1.0000002060274358,5.254725916548746e+16,1.0000003337442056
0.8,0.013333333333333334,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863398459518,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.47999790356,1.8231426942693248e-05,1.2591086377804992e-09,0.005666832376516574,-13706092247.305374,1408758714.643602,13778300541.34866,2.4426941892410184e-07,-3.879678629270928e-06,3.887360777628321e-06,1.4135372332402491e+27,0.9999999177638932,0.9996651122745533,1.0000003086911318,1.0000002060274358,5.254725916548746e+16,1.0000003337442056
1.6,0.02666666666666667,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.2186338597214,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.48246420798,1.8231426008603403e-05,1.2591088313172497e-09,0.0056668329578717265,-13706091519.459139,1408757650.1826043,13778299708.481367,2.2116325661218944e-07,-3.882672976643185e-06,3.888966781759721e-06,1.412953401710374e+27,0.9999998573161463,1.0000781087500974,1.0000004624005137,1.0000003086165425,5.254726791325298e+16,1.0000005002185104
3.2,0.05333333333333334,0.5451,0.5451,True,18833.8181813924,1.8587533991179785e-11,1.21871261371758,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24063.18445769358,1.8233432910431657e-05,1.2591198676372764e-09,0.005667505035909532,-13707253289.736969,1405820309.914871,13779155398.382519,2.2761310850049756e-07,-3.882680576209552e-06,3.889346498325419e-06,1.412781364797962e+27,1.0000619614797341,1.0001757558235223,1.0000092275881252,1.0001189071794818,5.255019091003085e+16,1.000056126293016
6.4,0.10666666666666667,0.54545,0.54545,True,18923.4850388429,1.8676028302035464e-11,1.21822216091196,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23974.189130478564,1.8267244006151798e-05,1.2581024381733699e-09,0.005673402894087003,-13682875251.607439,1384849924.2484043,13752777336.368902,2.3929208402836836e-07,-3.871965901279137e-06,3.8793531216102256e-06,1.412194223111716e+27,0.9981474975177073,0.9976058811379801,0.9992011719943112,1.0011596754607235,5.252317207885124e+16,0.9995419445711513
12.8,0.21333333333333335,0.54565,0.54565,True,18974.5653238366,1.8726440625466387e-11,1.21910831589282,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23901.030598223475,1.8295179698464032e-05,1.2557284091113552e-09,0.00567133768194813,-13674216520.627337,1382230257.2868586,13743898935.06049,2.4549669844237413e-07,-3.8633332960116395e-06,3.871125519150505e-06,1.4150460344004046e+27,0.9975031219249668,0.9954900890602341,0.9973156875145596,1.0007952368419066,5.242667040892913e+16,0.9977054700592253
25.6,0.4266666666666667,0.5465,0.5465,True,19083.7851282926,1.8834232195305457e-11,1.22071961746299,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23769.843486556725,1.8345596297331538e-05,1.252572445208315e-09,0.005672638731367909,-13668127791.442207,1361359844.8616598,13735756912.176212,2.4816167988666914e-07,-3.8571661323601225e-06,3.865140979575017e-06,1.4166690014781788e+27,0.9969121911211078,0.9939511180799558,0.9948091803057604,1.0010248271317523,5.231293688316193e+16,0.9955410648070517
51.2,0.8533333333333334,0.5486,0.5486,True,19407.8067693067,1.915401670252651e-11,1.22119785160067,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23453.621378771906,1.8468857845640457e-05,1.2485040634015566e-09,0.005692119080215671,-13618825263.193602,1279991387.6084225,13678844231.211643,2.8490579919096255e-07,-3.83562550765691e-06,3.8461921883079335e-06,1.4135759897026423e+27,0.9927815890839773,0.9890782887664304,0.9915780190377355,1.004462435934507,5.220832460410549e+16,0.9935502413914912
102.4,1.7066666666666668,0.5527,0.5527,True,19802.5074415921,1.9543555992530635e-11,1.22660304735036,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23055.887155955254,1.862747866101359e-05,1.2416274473109072e-09,0.00570927768650223,-13632081534.85592,1175229647.8558412,13682646370.426998,3.049552895831252e-07,-3.8414969463208715e-06,3.853582296673746e-06,1.4096082508402523e+27,0.9930575403082428,0.9909787127126067,0.9861165219063032,1.0074903373583797,5.201370286033935e+16,0.9898464933404827
204.8,3.4133333333333336,0.56015,0.56015,True,20513.3814918231,2.0245134156068977e-11,1.2301251315222,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,22492.327065985493,1.8859396814894152e-05,1.239329580942726e-09,0.005769506556925589,-13635696001.631435,950935613.9434264,13668814286.205423,4.135481950423693e-07,-3.861912075329122e-06,3.8839911157462365e-06,1.3864096402743462e+27,0.9920536368846987,0.9987985774669103,0.9842915268196499,1.0181186529375994,5.212279647321521e+16,0.9919225987552608
409.6,6.826666666666667,0.5718,0.5718,True,21430.1443872753,2.114990881816622e-11,1.2319199734279,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,21945.887826952217,1.9092746923624726e-05,1.2478213879254942e-09,0.00588075896678847,-13702059628.793226,619826854.7066518,13716071719.002518,5.722707411950684e-07,-3.9532971798095475e-06,3.994502771699887e-06,1.3339056336405556e+27,0.9954834814267747,1.0272175108451373,0.9910358293756888,1.037750861090599,5.283035460511494e+16,1.0053877799898299
819.2,13.653333333333334,0.58865,0.58865,True,22801.1420343216,2.250297834028139e-11,1.22062746622211,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,21430.584099843407,1.932092832708488e-05,1.2811643618080217e-09,0.0061099038966607126,-13724847963.586489,136899519.92829436,13725530703.842413,8.389089393402577e-07,-4.133095877405525e-06,4.2173747450673084e-06,1.2277923899478391e+27,0.996169994544531,1.0845307752998772,1.0175172489885218,1.0781870275161252,5.4924859410709736e+16,1.0452472424601253
1269.2,21.153333333333332,0.6039,0.6039,True,24448.1162310331,2.412841554951475e-11,1.20379736595142,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,20791.35707079853,1.9615689346261996e-05,1.3127029106333765e-09,0.006355617189818246,-13603529715.408945,-245253367.84198475,13605740330.186079,1.0606903347206482e-06,-4.286683562406401e-06,4.41596195073905e-06,1.1306823427909736e+27,0.9874758625326948,1.1355990225273054,1.042565570963836,1.1215469378602978,5.70908778088928e+16,1.086467643970653
1719.2,28.653333333333332,0.6176,0.6176,True,26601.378262903,2.6253520019772498e-11,1.19961590465876,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,19609.997183158008,2.0197900473470525e-05,1.3083272777222317e-09,0.0065220508724624544,-13432213859.481813,-464448321.55149525,13440241121.730194,1.2351026954169234e-06,-4.32784128184338e-06,4.500632047729952e-06,1.0847150207527722e+27,0.9754642799467865,1.1573725976741813,1.0390903869085688,1.1509167349313771,5.7601363597815464e+16,1.0961824410390721
2169.2,36.15333333333333,0.63155,0.63155,True,29142.1510259923,2.876106785967071e-11,1.20661132634772,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,18198.489189134292,2.0966566986488547e-05,1.2813552889436475e-09,0.006630192279312014,-13339300625.927582,-576208420.8949462,13351739861.650324,1.3514419633169898e-06,-4.360518861185999e-06,4.565141850914703e-06,1.0664745450065982e+27,0.9690410456345229,1.1739617961902082,1.0176688857804825,1.1699999584934142,5.699775583697063e+16,1.0846954867833902
2619.2,43.65333333333333,0.64575,0.64575,True,31134.7397674249,3.0727600115908216e-11,1.20564024916211,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,17430.82868046343,2.1423280605083147e-05,1.2832660399478959e-09,0.006784436586877359,-13405591701.437,-645268667.4740623,13421112491.848816,1.5044872430991892e-06,-4.5810086310547144e-06,4.821734329309941e-06,1.0173893432329115e+27,0.9740759644393037,1.23994655124561,1.019186428855597,1.1972187518325457,5.7814499710154056e+16,1.1002385266819086
3069.2,51.15333333333333,0.6596,0.6596,True,32748.0292035543,3.2319793050068184e-11,1.18435844849789,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,17231.73127741095,2.1546688683854712e-05,1.3267002337807582e-09,0.0070543935761273715,-13415402526.564949,-686847938.8424693,13432973797.371056,1.7214462582440326e-06,-4.994044347458356e-06,5.28241007158694e-06,9.236841287292398e+26,0.974936832912249,1.3584129077195939,1.0536824254180355,1.244856837262294,6.100206989423261e+16,1.1608995639754616
3519.2,58.65333333333333,0.6743,0.6743,True,34099.1326719156,3.365322854370476e-11,1.1743870324438,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,17061.420140206086,2.165396371256331e-05,1.3610066379547303e-09,0.007272770645590466,-13656374828.504465,-575878273.9274663,13668511595.74414,1.9349820770185667e-06,-5.596311775873305e-06,5.921390135024149e-06,8.495039964169302e+26,0.9920316682510866,1.5227316096351053,1.0809290137859213,1.2833928482019714,6.377893785103025e+16,1.2137447347352917
3969.2,66.15333333333334,0.6898,0.6898,True,35544.2467190168,3.507944526794624e-11,1.15851985250039,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,16973.327567800254,2.171008366553367e-05,1.4077122331785783e-09,0.007541808433874025,-13867723720.151579,-295248873.2069956,13870866341.92633,2.1660736823457075e-06,-6.475004304623651e-06,6.8277050274777905e-06,7.668536047049279e+26,1.0067181478306295,1.7557975457671067,1.1180231994979515,1.330868726406455,6.762650653662846e+16,1.2869658699725224
4419.2,73.65333333333334,0.7056,0.7056,True,36736.776810598,3.625638100127886e-11,1.14521715886173,2.66142132087097e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,16993.634518429004,2.169710829581092e-05,1.4575536713341118e-09,0.007804175345922136,-14127179008.243082,282794241.0372116,14130009175.995174,2.2344076736678308e-06,-7.809342104082873e-06,8.122709015516142e-06,6.903670205207915e+26,1.025526186745172,2.088817911293398,1.157607912083993,1.377167425339239,7.191629869631794e+16,1.3686027366618558
4869.2,81.15333333333334,0.7221,0.7221,True,38627.677176229,3.812255463009861e-11,1.13254520292666,5.36064138891596e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,16724.756545308373,2.187082125262468e-05,1.496346602673108e-09,0.008075908146499252,-14025657462.061758,1362045603.3847458,14091637075.541946,1.8254699241330973e-06,-9.658869621471892e-06,9.82985772066448e-06,6.234178688307643e+26,1.0227412208357334,2.5278245020432935,1.1884177581528856,1.4251188801392065,7.615318475136306e+16,1.4492327740104838
5319.2,88.65333333333334,0.7365,0.7365,True,41102.9384991006,4.056544770322942e-11,1.12038213197898,1.31536507814765e-15,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,16205.047326016424,2.22187612161171e-05,1.518594606468097e-09,0.008326126387092738,-12999424743.63965,2884946045.702426,13315703411.842907,2.4555084872824243e-07,-1.169846690149843e-05,1.170104367416708e-05,5.722681892145908e+26,0.9664255963100018,3.0090145493010048,1.2060874095198781,1.4692737581239896,7.977122421175349e+16,1.5180858545583353
5769.2,96.15333333333334,0.75115,0.75115,True,44540.0525416459,4.395761563657456e-11,1.11048806370079,2.78458255510668e-15,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,15387.874991885554,2.280109314512213e-05,1.5226904796652703e-09,0.008566986629189522,-9483618415.19954,5058279752.923264,10748265548.633661,-4.72994288397062e-06,-1.3436241894923588e-05,1.4244471065803887e-05,5.304277830940662e+26,0.7800863852898708,3.6630767201330126,1.209340404804505,1.5117772725598022,8.277213287418736e+16,1.5751946307652724
6219.2,103.65333333333334,0.7653,0.7653,True,47405.3340968944,4.678542876450955e-11,1.10464981505447,9.99743003044623e-15,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,14808.002369225098,2.3243244779480343e-05,1.529904896445217e-09,0.008774190903354748,-2142089236.9365027,6897503195.283417,7222471642.584978,-1.5439900062856568e-05,-1.2896775007720451e-05,2.0117587319327362e-05,4.928699425481039e+26,0.5241917192154725,5.173394325015067,1.2150701875972674,1.548341670990511,8.588136151440462e+16,1.6343647897285096
6669.2,111.15333333333334,0.7804,0.7804,True,50972.6847053333,5.0306130199247066e-11,1.09799679660201,2.77295831303905e-14,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,14128.4746644189,2.3795638080923302e-05,1.5331068923471755e-09,0.00900114659277452,5969347146.581143,1026431044.9798003,6056951877.511886,-2.5209905725864414e-05,-1.5702158801254657e-06,2.5258759364172455e-05,4.5524027523298855e+26,0.4396007592688838,6.495486773704238,1.217613254012911,1.588391512083284,8.941170505146037e+16,1.701548973477643
7119.2,118.65333333333334,0.79425,0.79425,True,55229.8850057114,5.450766036845722e-11,1.08542198582978,7.03873657780734e-14,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,13424.591152299416,2.4411499627129864e-05,1.5385699106907775e-09,0.009266607825031048,4700037003.16394,-7959552584.0931835,9243637009.860067,-2.1518153360335732e-05,1.10642311474427e-05,2.4196035520782513e-05,4.1670351392099634e+26,0.6708836276258605,6.222199057181204,1.2219520535938728,1.635236251668118,9.41341716432256e+16,1.7914198486262134
7569.2,126.15333333333334,0.8078,0.8078,True,62701.3739978356,6.188144694047811e-11,1.07498664205791,2.59925567792322e-13,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,12143.400569074789,2.5666983589199815e-05,1.5027200573439375e-09,0.009515380298848797,-128537974.46468201,-11102637811.082424,11103381844.05799,-1.3843542704840548e-05,1.4270032765958677e-05,1.988158720430233e-05,3.9137704089149836e+26,0.8058599750845805,5.112705056645375,1.1934796379994834,1.6791360017476546,9.685337543968594e+16,1.8431676418919902
8019.2,133.65333333333334,0.82375,0.82375,True,72510.8002816605,7.156259829961731e-11,1.07137341733354,1.57076409245223e-12,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,10744.060878066628,2.728731241909009e-05,1.446255039417063e-09,0.009735033083761366,-3558105088.4620814,-11316200727.172766,11862399028.78862,-8.928487004972988e-06,1.3591999310053632e-05,1.6262236175952863e-05,3.7041421749473326e+26,0.8609478373382891,4.181960739591423,1.1486343929881722,1.7178971324063474,9.830176837829634e+16,1.870731275942659
8469.2,141.15333333333334,0.83965,0.83965,True,87727.5741671511,8.658038699803953e-11,1.06995132308093,8.77029178748822e-12,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,9063.89257219039,2.970897160910311e-05,1.355802623242229e-09,0.009934871686477623,-5452949111.079598,-10715591558.427042,12023250660.90933,-6.158936494412536e-06,1.2031946061056435e-05,1.351666470540636e-05,3.587644650068213e+26,0.8726221086615327,3.4759156438655268,1.0767959182270601,1.7531617442054586,9.743343355950002e+16,1.8542064348303304
8919.2,148.65333333333334,0.85615,0.85615,True,108230.266466499,1.0681497174099655e-10,1.06257754493758,6.48662836803161e-11,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,7543.225609960328,3.256615194856855e-05,1.2699055921302215e-09,0.0101991259686592,-6959375973.180349,-10155602535.432686,12311343419.536583,-4.333267806058578e-06,1.0993021824194727e-05,1.1816248927059944e-05,3.393033349901943e+26,0.893531271883155,3.0386404777022338,1.0085753889968938,1.7997934987850155,9.870520996905032e+16,1.8784089689718944
9369.2,156.15333333333334,0.87075,0.87075,True,137344.031536101,1.3554802483891289e-10,1.05121977839913,2.23064398095441e-10,,,2.23064398095441e-07,6.651569739193987,0.0010002230643980955,-0.06046815374186741,3141592.653589793,45.0,6110.922362154706,3.6181920114527665e-05,1.0931426156580755e-09,0.01048302563828253,-7429690091.851351,-8864067974.062525,11565984433.231571,-2.58878352387067e-06,8.717711185674043e-06,9.09396989495185e-06,3.4586394972462344e+26,0.839434692789618,2.3385852140034253,0.868187954796697,1.8498919857794314,9.355124740507838e+16,1.780326512038305
9819.2,163.65333333333334,0.885,0.885,True,166807.420403288,1.6462612980890035e-10,1.04566830117873,1.21191847709783e-09,,,1.21191847709783e-06,5.916526593154335,0.0010012119184770979,-0.05090454503397979,3141592.653589793,45.0,5141.034986176978,3.944752079734214e-05,8.624417672607731e-10,0.010717506864574684,-6847874749.349384,-7300695178.6860075,10009672256.11638,-1.439549587538846e-06,6.094988547391155e-06,6.262682205557983e-06,3.8624907660663035e+26,0.7264808459447444,1.6104975247444233,0.6849623675119669,1.8912698242299588,8.057990830211102e+16,1.5334755128030093
