position,z_cm,medium,max_abs_mv,global_peak_time_ms,early_0p10ms_peak_time_ms,early_0p10ms_peak_mv,second_0p105ms_peak_time_ms,second_0p105ms_peak_mv,second_minus_early_us
1,-2.3,fluid,0.03468301027766254,0.09968706536856746,0.09968706536856746,-0.03468301027766254,0.10244089012517385,0.026753886430178526,2.7538247566063907
2,-1.7999999999999998,fluid,0.04775776058646959,0.09968706536856746,0.09968706536856746,-0.04775776058646959,0.10231571627260085,0.03671951373272492,2.6286509040333863
3,-1.3,fluid,0.06795363781803838,0.09968706536856746,0.09968706536856746,-0.06795363781803838,0.10231571627260085,0.05276276864884319,2.6286509040333863
4,-0.8,fluid,0.10385281075094753,0.09956189151599443,0.09956189151599443,-0.10385281075094753,0.10231571627260085,0.08041818648393184,2.7538247566064182
5,-0.3,fluid,0.1666126196037038,0.09956189151599443,0.09956189151599443,-0.1666126196037038,0.10319193324061197,-0.13903395524028428,3.630041724617547
6,1.0,porous,0.3230278173249351,0.09968706536856746,0.09968706536856746,0.3230278173249351,0.10531988873435327,0.25816826439528273,5.632823365785813
