Pe,Time_s,Porosity_raw,k_k0,cH_molL,zeta,sigma_abs,L_over_sigma,RE_abs,TTM_abs,Amax_waveform_spectral
Pe=0.1,5769.2,0.75115,2.3656994795838084,1e-07,-0.0649989143180784,0.0085669866291895,1.777393318762922e-07,957157724.6569352,1.268502853097038e-06,7813518440812510.0
Pe=1,300.6,0.7445,9.365910955663567,0.0017577863076105,-0.0081522499648005,0.0228467168421175,4.026025986512062e-09,31693571.149755068,1.2886757095391763e-09,222805486539549.75
Pe=10,41.4,0.75355,8.28476713287106,0.0173620567409746,0.0016006300766711,0.1593706972399059,1.2978031731996655e-10,923287.6567753355,5.545239691566011e-11,9296258759621.02
