distance_from_interface_m,distance_from_interface_mm,common_arrival_time_s,common_arrival_time_us,time_after_T0_us,fluid_z_m,porous_z_m,fluid_signed,porous_signed,signed_product,polarity_reversed,fluid_abs,porous_abs
0.001,1.0,7.125938281901583e-05,71.25938281901583,4.143777297613391,-0.0009999999999999835,0.0010000000000000182,0.022003699209318592,-0.00045063191023006174,-9.915569006822936e-06,True,0.022003699209318592,0.00045063191023006174
0.002,2.0,7.125938281901583e-05,71.25938281901583,4.143777297613391,-0.0019999999999999844,0.002000000000000019,0.020262418705344176,-0.00027147162945560495,-5.5006718226515125e-06,True,0.020262418705344176,0.00027147162945560495
0.005,5.0,7.13928273561301e-05,71.3928273561301,4.277221834727657,-0.004999999999999987,0.005000000000000022,0.015635413326452813,0.0005703415296224029,8.917525552887601e-06,False,0.015635413326452813,0.0005703415296224029
0.01,10.0,7.13928273561301e-05,71.3928273561301,4.277221834727657,-0.009999999999999992,0.010000000000000026,0.011511902909223947,0.00040266424796727297,4.635431727614922e-06,False,0.011511902909223947,0.00040266424796727297
