z_m,z_mm,side,distance_from_interface_m,distance_from_interface_mm,peak_abs,peak_signed,peak_time_s,peak_time_us,liu_dipole_peak_distance_m,liu_dipole_peak_distance_mm
-0.1,-100.0,R_E,0.1,100.0,3925939392587.528,3925939392587.528,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.099,-99.0,R_E,0.099,99.0,3954457200802.6904,3954457200802.6904,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.098,-98.0,R_E,0.098,98.0,3983605727391.246,3983605727391.246,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.097,-97.0,R_E,0.097,97.0,4013403021219.3433,4013403021219.3433,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.096,-96.0,R_E,0.096,96.0,4043867788585.2217,4043867788585.2217,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.095,-95.0,R_E,0.095,95.0,4075019422719.5737,4075019422719.5737,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.094,-94.0,R_E,0.094,94.0,4106878034857.9307,4106878034857.9307,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.093,-93.0,R_E,0.093,93.0,4139464486981.842,4139464486981.842,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.092,-92.0,R_E,0.092,92.0,4172800426332.076,4172800426332.076,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.091,-91.0,R_E,0.091,91.0,4206908321804.466,4206908321804.466,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.09,-90.0,R_E,0.09,90.0,4241811502346.865,4241811502346.865,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.089,-89.0,R_E,0.089,89.0,4277534197483.954,4277534197483.954,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.088,-88.0,R_E,0.088,88.0,4314101580105.6284,4314101580105.6284,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.087,-87.0,R_E,0.087,87.0,4351539811664.8706,4351539811664.8706,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.086,-86.0,R_E,0.086,86.0,4389876089941.0664,4389876089941.0664,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.08499999999999999,-84.99999999999999,R_E,0.08499999999999999,84.99999999999999,4429138699536.631,4429138699536.631,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.08399999999999999,-83.99999999999999,R_E,0.08399999999999999,83.99999999999999,4469357065286.833,4469357065286.833,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.08299999999999999,-82.99999999999999,R_E,0.08299999999999999,82.99999999999999,4510561808776.151,4510561808776.151,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.08199999999999999,-81.99999999999999,R_E,0.08199999999999999,81.99999999999999,4552784808169.259,4552784808169.259,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.08099999999999999,-80.99999999999999,R_E,0.08099999999999999,80.99999999999999,4596059261579.734,4596059261579.734,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.07999999999999999,-79.99999999999999,R_E,0.07999999999999999,79.99999999999999,4640419754217.533,4640419754217.533,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.07899999999999999,-78.99999999999999,R_E,0.07899999999999999,78.99999999999999,4685902329573.733,4685902329573.733,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.07799999999999999,-77.99999999999999,R_E,0.07799999999999999,77.99999999999999,4732544564921.588,4732544564921.588,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.07699999999999999,-76.99999999999999,R_E,0.07699999999999999,76.99999999999999,4780385651434.717,4780385651434.717,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.07599999999999998,-75.99999999999999,R_E,0.07599999999999998,75.99999999999999,4829466479246.316,4829466479246.316,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.07499999999999998,-74.99999999999999,R_E,0.07499999999999998,74.99999999999999,4879829727799.401,4879829727799.401,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.07399999999999998,-73.99999999999999,R_E,0.07399999999999998,73.99999999999999,4931519961865.69,4931519961865.69,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.07299999999999998,-72.99999999999999,R_E,0.07299999999999998,72.99999999999999,4984583733641.107,4984583733641.107,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.07199999999999998,-71.99999999999999,R_E,0.07199999999999998,71.99999999999999,5039069691359.182,5039069691359.182,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.07099999999999998,-70.99999999999999,R_E,0.07099999999999998,70.99999999999999,5095028694898.96,5095028694898.96,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.06999999999999998,-69.99999999999999,R_E,0.06999999999999998,69.99999999999999,5152513938903.866,5152513938903.866,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.06899999999999998,-68.99999999999997,R_E,0.06899999999999998,68.99999999999997,5211581083971.01,5211581083971.01,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.06799999999999998,-67.99999999999997,R_E,0.06799999999999998,67.99999999999997,5272288396516.034,5272288396516.034,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.06699999999999998,-66.99999999999997,R_E,0.06699999999999998,66.99999999999997,5334696897970.99,5334696897970.99,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.06599999999999998,-65.99999999999997,R_E,0.06599999999999998,65.99999999999997,5398870524027.958,5398870524027.958,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.06499999999999997,-64.99999999999997,R_E,0.06499999999999997,64.99999999999997,5464876294701.712,5464876294701.712,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.06399999999999997,-63.99999999999997,R_E,0.06399999999999997,63.99999999999997,5532784496053.128,5532784496053.128,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.06299999999999997,-62.99999999999997,R_E,0.06299999999999997,62.99999999999997,5602668874486.568,5602668874486.568,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.06199999999999997,-61.99999999999997,R_E,0.06199999999999997,61.99999999999997,5674606844615.839,5674606844615.839,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.06099999999999997,-60.99999999999997,R_E,0.06099999999999997,60.99999999999997,5748679711781.484,5748679711781.484,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.05999999999999997,-59.99999999999997,R_E,0.05999999999999997,59.99999999999997,5824972910398.505,5824972910398.505,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.05899999999999997,-58.99999999999997,R_E,0.05899999999999997,58.99999999999997,5903576259420.082,5903576259420.082,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.05799999999999997,-57.99999999999997,R_E,0.05799999999999997,57.99999999999997,5984584236320.067,5984584236320.067,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.05699999999999997,-56.999999999999964,R_E,0.05699999999999997,56.999999999999964,6068096271125.333,6068096271125.333,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.055999999999999966,-55.999999999999964,R_E,0.055999999999999966,55.999999999999964,6154217062171.094,6154217062171.094,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.054999999999999966,-54.999999999999964,R_E,0.054999999999999966,54.999999999999964,6243056915407.612,6243056915407.612,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.053999999999999965,-53.999999999999964,R_E,0.053999999999999965,53.999999999999964,6334732109260.828,6334732109260.828,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.052999999999999964,-52.999999999999964,R_E,0.052999999999999964,52.999999999999964,6429365287236.704,6429365287236.704,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.05199999999999996,-51.999999999999964,R_E,0.05199999999999996,51.999999999999964,6527085880672.121,6527085880672.121,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.05099999999999996,-50.999999999999964,R_E,0.05099999999999996,50.999999999999964,6628030564264.589,6628030564264.589,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.04999999999999996,-49.999999999999964,R_E,0.04999999999999996,49.999999999999964,6732343747272.256,6732343747272.256,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.04899999999999996,-48.99999999999996,R_E,0.04899999999999996,48.99999999999996,6840178103558.217,6840178103558.217,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.04799999999999996,-47.99999999999996,R_E,0.04799999999999996,47.99999999999996,6951695143969.795,6951695143969.795,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.04699999999999996,-46.99999999999996,R_E,0.04699999999999996,46.99999999999996,7067065834892.294,7067065834892.294,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.04599999999999996,-45.99999999999996,R_E,0.04599999999999996,45.99999999999996,7186471267205.585,7186471267205.585,5.787597065565406e-05,57.875970655654065,0.0,0.0
-0.04499999999999996,-44.99999999999996,R_E,0.04499999999999996,44.99999999999996,7310157059235.359,7310157059235.359,5.784844771987424e-05,57.848447719874244,0.0,0.0
-0.043999999999999956,-43.99999999999996,R_E,0.043999999999999956,43.99999999999996,7438460256047.938,7438460256047.938,5.784844771987424e-05,57.848447719874244,0.0,0.0
-0.042999999999999955,-42.99999999999996,R_E,0.042999999999999955,42.99999999999996,7571427074436.084,7571427074436.084,5.784844771987424e-05,57.848447719874244,0.0,0.0
-0.041999999999999954,-41.99999999999996,R_E,0.041999999999999954,41.99999999999996,7709288291442.763,7709288291442.763,5.784844771987424e-05,57.848447719874244,0.0,0.0
-0.04099999999999995,-40.99999999999995,R_E,0.04099999999999995,40.99999999999995,7852289205464.135,7852289205464.135,5.784844771987424e-05,57.848447719874244,0.0,0.0
-0.03999999999999995,-39.99999999999995,R_E,0.03999999999999995,39.99999999999995,8000690735739.628,8000690735739.628,5.784844771987424e-05,57.848447719874244,0.0,0.0
-0.03899999999999995,-38.99999999999995,R_E,0.03899999999999995,38.99999999999995,8154770618352.132,8154770618352.132,5.784844771987424e-05,57.848447719874244,0.0,0.0
