r_cm,pressure_amplitude_kpa
-3.8,1.0940380972234456
-3.768333333333333,0.8781039707441988
-3.7366666666666664,0.6535115909149027
-3.7049999999999996,0.4207273342479676
-3.6733333333333333,0.1802575872712648
-3.6416666666666666,0.06735146980320644
-3.61,0.32151419943310994
-3.578333333333333,0.5816059653934625
-3.5466666666666664,0.8469637156634536
-3.5149999999999997,1.1168866911557627
-3.4833333333333334,1.3906372615352616
-3.4516666666666667,1.6674418890031653
-3.42,1.9464922205389117
-3.388333333333333,2.226946308696419
-3.3566666666666665,2.5079299606443857
-3.3249999999999997,2.7885382147237325
-3.293333333333333,3.0678369433703607
-3.2616666666666667,3.3448645808186037
-3.23,3.6186339735628046
-3.1983333333333333,3.8881343511114435
-3.1666666666666665,4.152333414122605
-3.135,4.410179536562363
-3.1033333333333335,4.6606040780805795
-3.0716666666666663,4.902523802353465
-3.04,5.134843396700077
-3.0083333333333333,5.356458087843819
-2.9766666666666666,5.566256348259429
-2.945,5.763122687125232
-2.913333333333333,5.945940519489063
-2.881666666666667,6.113595106857726
-2.85,6.264976562034458
-2.8183333333333334,6.3989829106595835
-2.7866666666666666,6.514523201557284
-2.755,6.610520657658016
-2.7233333333333336,6.685915858953775
-2.6916666666666664,6.739669948652659
-2.66,6.770767853433058
-2.6283333333333334,6.77822150845623
-2.5966666666666667,6.761073077581928
-2.565,6.718398159045275
-2.533333333333333,6.649308966696522
-2.501666666666667,6.552957476779062
-2.4699999999999998,6.4285385301270095
-2.4383333333333335,6.275292879602118
-2.4066666666666667,6.092510172562061
-2.375,5.879531858159192
-2.3433333333333333,5.635754009310711
-2.3116666666666665,5.360630049259316
-2.2800000000000002,5.053673372757237
-2.248333333333333,4.714459852057511
-2.216666666666667,4.3426302180833085
-2.185,3.93789230737022
-2.1533333333333333,3.500023165637162
-2.121666666666667,3.0288709991379683
-2.09,2.524356965278712
-2.0583333333333336,1.9864767943538542
-2.026666666666667,1.4153022346564204
-1.995,0.810982313654241
-1.9633333333333334,0.1737444083927137
-1.9316666666666666,0.496104881214782
-1.9000000000000001,1.1981790620171042
-1.8683333333333334,1.9320112854253253
-1.8366666666666667,2.697054098044638
-1.8050000000000002,3.4926794091893645
-1.7733333333333334,4.318178678695546
-1.7416666666666667,5.17276332779
-1.71,6.055565375097033
-1.6783333333333332,6.965638299171195
-1.646666666666667,7.901958128235214
-1.6150000000000002,8.863424757081694
-1.5833333333333335,9.848863490365096
-1.5516666666666667,10.85702681077292
-1.52,11.886596369820747
-1.4883333333333333,12.936185198270524
-1.456666666666667,14.004340132426647
-1.4250000000000003,15.089544451822443
-1.3933333333333335,16.190220723074873
-1.3616666666666668,17.304733843958452
-1.33,18.4313942810351
-1.2983333333333333,19.568461493476967
-1.2666666666666666,20.714147535036417
-1.2350000000000003,21.866620825455524
-1.2033333333333336,23.02401008196791
-1.1716666666666669,24.18440840093141
-1.1400000000000001,25.34587747904531
-1.1083333333333334,26.506451963049194
