time_us,z_m,r_m,model_unscaled_mv,model_scaled_mv,salinity_key,plot_position_cm
100.60000000000001,-0.013,-0.025,0.024068179206594025,0.0045729540492528645,1e-3,-2.5
100.61448467966574,-0.013,-0.025,0.02402911316651854,0.004565531501638523,1e-3,-2.5
100.62896935933148,-0.013,-0.025,0.023979690133879957,0.0045561411254371915,1e-3,-2.5
100.64345403899722,-0.013,-0.025,0.02392076073614255,0.004544944539867085,1e-3,-2.5
100.65793871866296,-0.013,-0.025,0.023853229514222814,0.004532113607702335,1e-3,-2.5
100.6724233983287,-0.013,-0.025,0.023778049609771895,0.00451782942585666,1e-3,-2.5
100.68690807799443,-0.013,-0.025,0.02369621707825549,0.004502281244868543,1e-3,-2.5
100.70139275766017,-0.013,-0.025,0.023608764861176024,0.004485665323623445,1e-3,-2.5
100.71587743732591,-0.013,-0.025,0.02351675645333911,0.004468183726134431,1e-3,-2.5
100.73036211699164,-0.013,-0.025,0.023421279303367872,0.004450043067639896,1e-3,-2.5
100.74484679665738,-0.013,-0.025,0.023323437987765573,0.0044314532176754585,1e-3,-2.5
100.75933147632313,-0.013,-0.025,0.02322434720067142,0.00441262596812757,1e-3,-2.5
100.77381615598887,-0.013,-0.025,0.0231251246030411,0.004393773674577809,1e-3,-2.5
100.78830083565461,-0.013,-0.025,0.023026883576288716,0.004375107879494856,1e-3,-2.5
100.80278551532034,-0.013,-0.025,0.022930725926471607,0.004356837926029605,1e-3,-2.5
100.81727019498608,-0.013,-0.025,0.022837734585826205,0.004339169571306979,1e-3,-2.5
100.8317548746518,-0.013,-0.025,0.022748966358901813,0.004322303608191345,1e-3,-2.5
100.84623955431755,-0.013,-0.025,0.022665444760692606,0.004306434504531595,1e-3,-2.5
100.86072423398329,-0.013,-0.025,0.02258815299397039,0.004291749068854374,1e-3,-2.5
100.87520891364903,-0.013,-0.025,0.022518027112564714,0.004278425151387296,1e-3,-2.5
100.88969359331477,-0.013,-0.025,0.022455949416529133,0.004266630389140535,1e-3,-2.5
100.9041782729805,-0.013,-0.025,0.022402742124054624,0.0042565210035703785,1e-3,-2.5
100.91866295264624,-0.013,-0.025,0.022359161363572355,0.004248240659078748,1e-3,-2.5
100.93314763231197,-0.013,-0.025,0.02232589152783792,0.004241919390289205,1e-3,-2.5
100.94763231197771,-0.013,-0.025,0.022303540029760385,0.004237672605654473,1e-3,-2.5
100.96211699164347,-0.013,-0.025,0.0222926324975428,0.004235600174533132,1e-3,-2.5
100.9766016713092,-0.013,-0.025,0.02229360844414587,0.004235785604387715,1e-3,-2.5
100.99108635097494,-0.013,-0.025,0.02230681744334846,0.004238295314236208,1e-3,-2.5
101.00557103064067,-0.013,-0.025,0.022332515841676046,0.004243178009918449,1e-3,-2.5
101.02005571030641,-0.013,-0.025,0.022370864032259276,0.004250464166129262,1e-3,-2.5
101.03454038997215,-0.013,-0.025,0.02242192431327322,0.004260165619521912,1e-3,-2.5
101.04902506963788,-0.013,-0.025,0.02248565935004429,0.004272275276508415,1e-3,-2.5
101.06350974930363,-0.013,-0.025,0.02256193125614872,0.004286766938668257,1e-3,-2.5
101.07799442896936,-0.013,-0.025,0.022650501304990325,0.0043035952479481615,1e-3,-2.5
101.0924791086351,-0.013,-0.025,0.022751030279350958,0.004322695753076682,1e-3,-2.5
101.10696378830085,-0.013,-0.025,0.022863079462359926,0.004343985097848386,1e-3,-2.5
101.12144846796657,-0.013,-0.025,0.022986112269229787,0.004367361331153659,1e-3,-2.5
101.13593314763231,-0.013,-0.025,0.023119496514926643,0.004392704337836062,1e-3,-2.5
101.15041782729806,-0.013,-0.025,0.023262507308865654,0.004419876388684474,1e-3,-2.5
101.1649025069638,-0.013,-0.025,0.023414330563523662,0.004448722807069496,1e-3,-2.5
101.17938718662954,-0.013,-0.025,0.023574067099848453,0.004479072748971206,1e-3,-2.5
101.19387186629527,-0.013,-0.025,0.023740737328326687,0.004510740092382071,1e-3,-2.5
101.20835654596101,-0.013,-0.025,0.023913286480683447,0.004543524431329855,1e-3,-2.5
101.22284122562674,-0.013,-0.025,0.024090590363421423,0.004577212169050071,1e-3,-2.5
101.23732590529248,-0.013,-0.025,0.02427146160082012,0.004611577704155823,1e-3,-2.5
101.25181058495824,-0.013,-0.025,0.024454656331567418,0.004646384702997809,1e-3,-2.5
101.26629526462396,-0.013,-0.025,0.02463888131997267,0.004681387450794807,1e-3,-2.5
101.2807799442897,-0.013,-0.025,0.024822801439741173,0.004716332273550823,1e-3,-2.5
101.29526462395543,-0.013,-0.025,0.025005047485505253,0.004750959022245998,1e-3,-2.5
101.30974930362117,-0.013,-0.025,0.025184224264819713,0.004785002610315746,1e-3,-2.5
101.32423398328692,-0.013,-0.025,0.0253589189211836,0.004818194595024884,1e-3,-2.5
101.33871866295264,-0.013,-0.025,0.025527709436672093,0.0048502647929676975,1e-3,-2.5
101.3532033426184,-0.013,-0.025,0.025689173261251416,0.004880942919637769,1e-3,-2.5
101.36768802228413,-0.013,-0.025,0.02584189601454264,0.004909960242763102,1e-3,-2.5
101.38217270194987,-0.013,-0.025,0.02598448020492849,0.004937051238936414,1e-3,-2.5
101.3966573816156,-0.013,-0.025,0.02611555391030236,0.004961955242957449,1e-3,-2.5
101.41114206128134,-0.013,-0.025,0.026233779364561824,0.004984418079266747,1e-3,-2.5
101.42562674094708,-0.013,-0.025,0.02633786139409305,0.0050041936648776795,1e-3,-2.5
101.44011142061281,-0.013,-0.025,0.02642655564901435,0.005021045573312726,1e-3,-2.5
101.45459610027856,-0.013,-0.025,0.026498676574792112,0.005034748549210501,1e-3,-2.5
101.46908077994429,-0.013,-0.025,0.026553105071103384,0.005045089963509643,1e-3,-2.5
101.48356545961003,-0.013,-0.025,0.026588795786378114,0.0050518711994118415,1e-3,-2.5
101.49805013927578,-0.013,-0.025,0.026604783998390478,0.005054908959694191,1e-3,-2.5
101.5125348189415,-0.013,-0.025,0.026600192033534642,0.005054036486371582,1e-3,-2.5
101.52701949860725,-0.013,-0.025,0.026574235180011625,0.005049104684202209,1e-3,-2.5
101.54150417827297,-0.013,-0.025,0.02652622705303898,0.005039983140077406,1e-3,-2.5
101.55598885793873,-0.013,-0.025,0.026455584373415032,0.005026561030948856,1e-3,-2.5
101.57047353760447,-0.013,-0.025,0.02636183112420486,0.005008747913598924,1e-3,-2.5
