figure,panel,n_points,mean_ratio_model_to_experiment,median_ratio_model_to_experiment,mean_abs_error_mv,rmse_mv,mean_abs_error_kpa,rmse_kpa
Fig11,r,20,1.9754997306441724,1.9662185260021312,0.08010427219947161,0.08548808336109781,,
Fig11,z,25,1.9218115726434342,1.939811737939429,0.0827430195467355,0.11447676879357235,,
Fig5,source_directivity,29,0.8618421745721941,0.8927944079379497,,,3.922361633491168,4.648383473683175
Fig6,a_waveform,401,0.5458142209638417,0.210341157179054,0.04417358826280148,0.1586429771663351,,
Fig6,b_spectrum,401,1.3393741366735887,1.0953652623738426,4.099321683689787,5.392189626463339,,
