frequency_hz,receiver_z_m,receiver_r_m,integration_method,n_theta,response_real,response_imag,response_abs,relative_to_adaptive_abs
500000.0,-0.013,0.0,fixed,28.0,-3.9912668456438494e-10,2.376634008069205e-10,4.6452771974820723e-10,-0.33256111026873475
500000.0,-0.013,0.0,fixed,42.0,-4.583015956056912e-10,3.6424435046415856e-10,5.854180552218895e-10,-0.15886445481073488
500000.0,-0.013,0.0,fixed,64.0,-4.884949683760646e-10,4.241097411237947e-10,6.469129822818711e-10,-0.07050782054299552
500000.0,-0.013,0.0,fixed,90.0,-5.003553143917298e-10,4.466256667227799e-10,6.706936162031173e-10,-0.03633952610815415
500000.0,-0.013,0.0,fixed,128.0,-5.06592748657421e-10,4.5823590830613567e-10,6.830932298401369e-10,-0.018523615437688844
500000.0,-0.013,0.0,adaptive,,-5.134306758065743e-10,4.698772308935924e-10,6.959853956595827e-10,0.0
