figure,panel,series,coordinate_name,coordinate_cm,experimental_vpp_mv,model_vpp_mv,residual_mv,ratio_model_to_experiment,nearest_model_distance_cm
Fig11,z,0-1 hours,z_cm,-4.3,0.027,0.043899077573476726,0.016899077573476726,1.6258917619806195,0.0
Fig11,z,0-1 hours,z_cm,-3.8,0.03,0.05439828828291262,0.02439828828291262,1.8132762760970873,0.0
Fig11,z,0-1 hours,z_cm,-3.3,0.039,0.06883102563482511,0.029831025634825113,1.764898093200644,4.440892098500626e-16
Fig11,z,0-1 hours,z_cm,-2.8,0.046,0.08923133994521373,0.043231339945213734,1.939811737939429,4.440892098500626e-16
Fig11,z,0-1 hours,z_cm,-2.3,0.061,0.11899447583694808,0.057994475836948084,1.950729112081116,0.0
Fig11,z,0-1 hours,z_cm,-1.8,0.091,0.16403182044816247,0.07303182044816248,1.802547477452335,2.220446049250313e-16
Fig11,z,0-1 hours,z_cm,-1.3,0.124,0.2352302656390714,0.1112302656390714,1.8970182712828338,0.0
Fig11,z,0-1 hours,z_cm,-0.8,0.181,0.3552759654331603,0.17427596543316032,1.962850637752267,0.0
Fig11,z,0-1 hours,z_cm,-0.3,0.294,0.5805873388601182,0.28658733886011817,1.9747868668711503,0.0
Fig11,z,18-24 hours,z_cm,-4.3,0.025,0.043899077573476726,0.018899077573476725,1.755963102939069,0.0
Fig11,z,18-24 hours,z_cm,-3.8,0.028,0.05439828828291262,0.02639828828291262,1.942796010104022,0.0
Fig11,z,18-24 hours,z_cm,-3.3,0.037,0.06883102563482511,0.031831025634825115,1.8602979901304086,4.440892098500626e-16
Fig11,z,18-24 hours,z_cm,-2.8,0.045,0.08923133994521373,0.044231339945213735,1.9829186654491942,4.440892098500626e-16
Fig11,z,18-24 hours,z_cm,-2.3,0.06,0.11899447583694808,0.058994475836948085,1.9832412639491348,0.0
Fig11,z,18-24 hours,z_cm,-1.8,0.088,0.16403182044816247,0.07603182044816248,1.8639979596382101,2.220446049250313e-16
Fig11,z,18-24 hours,z_cm,-1.3,0.123,0.2352302656390714,0.1122302656390714,1.912441184057491,0.0
Fig11,z,18-24 hours,z_cm,-0.8,0.179,0.3552759654331603,0.17627596543316032,1.9847819297941918,0.0
Fig11,z,40-41 hours,z_cm,-4.3,0.024,0.043899077573476726,0.019899077573476726,1.829128232228197,0.0
Fig11,z,40-41 hours,z_cm,-3.8,0.027,0.05439828828291262,0.02739828828291262,2.0147514178856527,0.0
Fig11,z,40-41 hours,z_cm,-3.3,0.036,0.06883102563482511,0.032831025634825116,1.9119729343006977,4.440892098500626e-16
Fig11,z,40-41 hours,z_cm,-2.8,0.043,0.08923133994521373,0.04623133994521374,2.075147440586366,4.440892098500626e-16
Fig11,z,40-41 hours,z_cm,-2.3,0.058,0.11899447583694808,0.06099447583694808,2.0516288937404843,0.0
