figure,panel,series,coordinate_name,coordinate_cm,experimental_vpp_mv,model_vpp_mv,residual_mv,ratio_model_to_experiment,nearest_model_distance_cm
Fig11,z,40-41 hours,z_cm,-1.8,0.086,0.16403182044816247,0.07803182044816248,1.9073467493972383,2.220446049250313e-16
Fig11,z,40-41 hours,z_cm,-1.3,0.12,0.2352302656390714,0.1152302656390714,1.9602522136589284,0.0
Fig11,z,40-41 hours,z_cm,-0.3,0.255,0.5805873388601182,0.32558733886011815,2.276813093569091,0.0
Fig11,r,0-1 hours,r_cm,-2.0,0.086,0.11636286255338579,0.0303628625533858,1.3530565413184397,0.0
Fig11,r,0-1 hours,r_cm,-1.5,0.094,0.15684004360083353,0.06284004360083353,1.6685111021365269,0.0
Fig11,r,0-1 hours,r_cm,-1.0,0.12,0.1955098476596356,0.07550984765963561,1.6292487304969634,1.1102230246251565e-16
Fig11,r,0-1 hours,r_cm,-0.5,0.112,0.22448385350008404,0.11248385350008404,2.0043201205364647,2.220446049250313e-16
Fig11,r,0-1 hours,r_cm,0.0,0.124,0.2352302656390714,0.1112302656390714,1.8970182712828338,3.469446951953614e-16
Fig11,r,0-1 hours,r_cm,0.5,0.112,0.224483853500084,0.11248385350008401,2.0043201205364642,4.440892098500626e-16
Fig11,r,0-1 hours,r_cm,1.0,0.088,0.1955098476596356,0.10750984765963562,2.221702814314041,2.220446049250313e-16
Fig11,r,0-1 hours,r_cm,1.5,0.076,0.15684004360083348,0.08084004360083348,2.0636847842214934,6.661338147750939e-16
Fig11,r,0-1 hours,r_cm,2.0,0.043,0.11636286255338571,0.07336286255338571,2.706113082636877,8.881784197001252e-16
Fig11,r,0-1 hours,r_cm,2.5,0.03,0.07973378200297318,0.04973378200297318,2.6577927334324394,8.881784197001252e-16
Fig11,r,18-24 hours,r_cm,-2.5,0.06,0.07973378200297324,0.019733782002973238,1.3288963667162206,0.0
Fig11,r,18-24 hours,r_cm,-1.5,0.092,0.15684004360083353,0.06484004360083354,1.704783082617756,0.0
Fig11,r,18-24 hours,r_cm,-1.0,0.108,0.1955098476596356,0.08750984765963561,1.8102763672188482,1.1102230246251565e-16
Fig11,r,18-24 hours,r_cm,-0.5,0.112,0.22448385350008404,0.11248385350008404,2.0043201205364647,2.220446049250313e-16
Fig11,r,18-24 hours,r_cm,0.0,0.122,0.2352302656390714,0.1132302656390714,1.9281169314677984,3.469446951953614e-16
Fig11,r,18-24 hours,r_cm,0.5,0.11,0.224483853500084,0.11448385350008401,2.0407623045462184,4.440892098500626e-16
Fig11,r,18-24 hours,r_cm,1.0,0.088,0.1955098476596356,0.10750984765963562,2.221702814314041,2.220446049250313e-16
Fig11,r,18-24 hours,r_cm,1.5,0.086,0.15684004360083348,0.07084004360083349,1.823721437218994,6.661338147750939e-16
Fig11,r,18-24 hours,r_cm,2.0,0.073,0.11636286255338571,0.043362862553385714,1.5940118157998044,8.881784197001252e-16
Fig11,r,18-24 hours,r_cm,2.5,0.028,0.07973378200297318,0.05173378200297318,2.8476350715347563,8.881784197001252e-16
