frequency_Hz,theta_deg,Time_s,Porosity,RE_abs,TTM_abs,RE_phase_rad,TTM_phase_rad,L_abs,sigma_abs,matrix_cond,case,Pe,stage_Time_norm
200000.0,5.0,0.1,0.545,214309349.5264004,2.262676131791474e-07,0.6161622201768306,1.634551406680339,1.999717643659333e-09,0.005666879031207702,7.350623230298939e+24,Pe0p1,0.1,6.983630370411755e-06
200000.0,8.043478260869566,0.1,0.545,213544895.68465948,2.2702398376676016e-07,0.5819176282259213,1.6718793791760158,1.999717643659333e-09,0.005666879031207702,1.1801085566749857e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,11.08695652173913,0.1,0.545,212378680.43522963,2.2739079928632513e-07,0.5476158144310969,1.708936851897394,1.999717643659333e-09,0.005666879031207702,1.6218257256055605e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,14.130434782608695,0.1,0.545,210548111.81030703,2.2707501690970745e-07,0.5131906785401609,1.7457757837508663,1.999717643659333e-09,0.005666879031207702,2.058967771723275e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,17.17391304347826,0.1,0.545,207560626.15763673,2.2553253857546005e-07,0.4784901202929021,1.7824949783761717,1.999717643659333e-09,0.005666879031207702,2.49030145460032e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,20.217391304347828,0.1,0.545,202427855.85176155,2.2167650541263748e-07,0.4431368193838585,1.8192710992348289,1.999717643659333e-09,0.005666879031207702,2.9146099860432016e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,23.26086956521739,0.1,0.545,192881492.946724,2.1301518182047185e-07,0.4060376196297532,1.8563620937900516,1.999717643659333e-09,0.005666879031207702,3.330696195499766e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,26.304347826086957,0.1,0.545,172235480.3670534,1.9219147085170747e-07,0.36268113873005015,1.8933666442524606,1.999717643659333e-09,0.005666879031207702,3.737385834446845e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,29.347826086956523,0.1,0.545,104250947.20920493,1.1907174646438476e-07,0.24850739429801996,1.8920748546683517,1.999717643659333e-09,0.005666879031207702,4.133529749412578e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,32.39130434782609,0.1,0.545,363730567.2323193,3.55899885434173e-07,-0.673488956145569,1.0497303959495652,1.999717643659333e-09,0.005666879031207702,4.518045952404062e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,35.434782608695656,0.1,0.545,409621267.981854,3.877763452311936e-07,-0.1810991057673873,1.5154907028540223,1.999717643659333e-09,0.005666879031207702,4.889801212342856e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,38.47826086956522,0.1,0.545,408247171.1867673,3.885126272913662e-07,0.018004058618372572,1.6997029330907492,1.999717643659333e-09,0.005666879031207702,5.247753653135938e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,41.52173913043478,0.1,0.545,399722618.0036133,3.89595147420889e-07,0.1294706560041978,1.804241052388425,1.999717643659333e-09,0.005666879031207702,5.59090138538744e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,44.56521739130435,0.1,0.545,389422067.2931252,3.9359001480474013e-07,0.20162945355284878,1.8742299249791816,1.999717643659333e-09,0.005666879031207702,5.9182776952060625e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,47.608695652173914,0.1,0.545,378231309.67271096,4.0045479061269067e-07,0.252633923129568,1.92545919730528,1.999717643659333e-09,0.005666879031207702,6.228958655186956e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,50.652173913043484,0.1,0.545,366090831.2179063,4.0993257019119955e-07,0.2910849389871359,1.9645873871629134,1.999717643659333e-09,0.005666879031207702,6.522068060992038e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,53.69565217391305,0.1,0.545,352665547.8743579,4.218677869577863e-07,0.32181513871203415,1.9945829317797812,1.999717643659333e-09,0.005666879031207702,6.796779428126705e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,56.73913043478261,0.1,0.545,337485605.6528808,4.3625877258164075e-07,0.3480754571614934,2.0165736062864825,1.999717643659333e-09,0.005666879031207702,7.0523173879588455e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,59.78260869565218,0.1,0.545,319946394.6044771,4.533353444032274e-07,0.37266339050350566,2.0305056022143555,1.999717643659333e-09,0.005666879031207702,7.287960464859575e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,62.82608695652174,0.1,0.545,299221072.36997795,4.7385029611865257e-07,0.398913863332038,2.035252547229669,1.999717643659333e-09,0.005666879031207702,7.503045777726162e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,65.86956521739131,0.1,0.545,273939001.8867613,5.002623267277397e-07,0.43243530139515524,2.028371669596626,1.999717643659333e-09,0.005666879031207702,7.696963672245978e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,68.91304347826087,0.1,0.545,240345044.35268348,5.432092596466549e-07,0.4850832755995809,2.0086836947169893,1.999717643659333e-09,0.005666879031207702,7.869165936240856e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,71.95652173913044,0.1,0.545,187766823.47974867,6.254610457719564e-07,0.5263094123825235,2.048141837623338,1.999717643659333e-09,0.005666879031207702,8.019160369877428e+25,Pe0p1,0.1,6.983630370411755e-06
200000.0,75.0,0.1,0.545,137017849.9970652,6.644923641623134e-07,0.44902712489918545,2.17813023621642,1.999717643659333e-09,0.005666879031207702,8.146532384852688e+25,Pe0p1,0.1,6.983630370411755e-06
234782.60869565216,5.0,0.1,0.545,271987672.33481365,2.27192536787799e-07,0.5926120436426393,1.6235569297242498,1.8444776737151556e-09,0.005666872157968506,1.283289466410758e+25,Pe0p1,0.1,6.983630370411755e-06
234782.60869565216,8.043478260869566,0.1,0.545,271042466.3774681,2.2804704998805284e-07,0.5584739190608181,1.660443935645204,1.8444776737151556e-09,0.005666872157968506,2.0602618659381795e+25,Pe0p1,0.1,6.983630370411755e-06
234782.60869565216,11.08695652173913,0.1,0.545,269587325.20415586,2.285041032546996e-07,0.5242795677705561,1.697030201196712,1.8444776737151556e-09,0.005666872157968506,2.8314223338219705e+25,Pe0p1,0.1,6.983630370411755e-06
234782.60869565216,14.130434782608695,0.1,0.545,267288801.6135473,2.282682550327748e-07,0.48996402118710775,1.73336964334015,1.8444776737151556e-09,0.005666872157968506,3.5945953689502e+25,Pe0p1,0.1,6.983630370411755e-06
234782.60869565216,17.17391304347826,0.1,0.545,263521141.96990082,2.2679087609010364e-07,0.45537894427010245,1.7695625411153404,1.8444776737151556e-09,0.005666872157968506,4.3476280767294975e+25,Pe0p1,0.1,6.983630370411755e-06
234782.60869565216,20.217391304347828,0.1,0.545,257027755.5670904,2.22975317915556e-07,0.42015854413855896,1.8057874734027677,1.8444776737151556e-09,0.005666872157968506,5.088396034517705e+25,Pe0p1,0.1,6.983630370411755e-06
234782.60869565216,23.26086956521739,0.1,0.545,244921191.05914813,2.1430436813742696e-07,0.38324965386120063,1.8423120589087392,1.8444776737151556e-09,0.005666872157968506,5.8148091811223185e+25,Pe0p1,0.1,6.983630370411755e-06
234782.60869565216,26.304347826086957,0.1,0.545,218670775.8093937,1.9332887310503122e-07,0.340338863135113,1.8788176294832362,1.8444776737151556e-09,0.005666872157968506,6.52481743822047e+25,Pe0p1,0.1,6.983630370411755e-06
234782.60869565216,29.347826086956523,0.1,0.545,131661157.98308061,1.1909763958068247e-07,0.22972517505324883,1.8787607312766677,1.8444776737151556e-09,0.005666872157968506,7.216414423170471e+25,Pe0p1,0.1,6.983630370411755e-06
234782.60869565216,32.39130434782609,0.1,0.545,464301516.82632446,3.610824722670547e-07,-0.6916022392507744,1.03834508944037,1.8444776737151556e-09,0.005666872157968506,7.887715529343876e+25,Pe0p1,0.1,6.983630370411755e-06
234782.60869565216,35.434782608695656,0.1,0.545,520651282.8799881,3.917238681657502e-07,-0.2009229048544412,1.5026629009583221,1.8444776737151556e-09,0.005666872157968506,8.536733891935835e+25,Pe0p1,0.1,6.983630370411755e-06
234782.60869565216,38.47826086956522,0.1,0.545,518450355.4182793,3.920632635339754e-07,-0.0025662297315008956,1.686232424161333,1.8444776737151556e-09,0.005666872157968506,9.161656536834438e+25,Pe0p1,0.1,6.983630370411755e-06
234782.60869565216,41.52173913043478,0.1,0.545,507472581.61699593,3.9293963465801576e-07,0.10845960590685799,1.7902788989985274,1.8444776737151556e-09,0.005666872157968506,9.760731600746431e+25,Pe0p1,0.1,6.983630370411755e-06
234782.60869565216,44.56521739130435,0.1,0.545,494345878.83617336,3.9680751907609354e-07,0.18031380667045985,1.8597979755388871,1.8444776737151556e-09,0.005666872157968506,1.0332272420835337e+26,Pe0p1,0.1,6.983630370411755e-06
234782.60869565216,47.608695652173914,0.1,0.545,480137448.2916714,4.035890215273822e-07,0.23108619260464813,1.9105367541671818,1.8444776737151556e-09,0.005666872157968506,1.087466579904722e+26,Pe0p1,0.1,6.983630370411755e-06
234782.60869565216,50.652173913043484,0.1,0.545,464749118.22872925,4.130130633326914e-07,0.26935092427135787,1.9491299641581197,1.8444776737151556e-09,0.005666872157968506,1.1386382100068545e+26,Pe0p1,0.1,6.983630370411755e-06
234782.60869565216,53.69565217391305,0.1,0.545,447744007.86577743,4.2491855416063193e-07,0.29993276318692946,1.9785207133867178,1.8444776737151556e-09,0.005666872157968506,1.1865978537802192e+26,Pe0p1,0.1,6.983630370411755e-06
