z_m,z_mm,offset_D_mm,r_mm,theta_deg,modeled_signed_peak,modeled_peak_abs,modeled_signed_norm,modeled_abs_norm,modeled_signed_side_norm,modeled_abs_side_norm,dipole_signed,dipole_abs,dipole_signed_norm,dipole_abs_norm,dipole_signed_side_norm,dipole_abs_side_norm,side,case,Pe,Time_s,Time_norm
0.0200000000000001,20.0000000000001,0.0,20.0000000000001,0.0,992442746786174.8,992442746786174.8,0.6188394951943521,0.6188394951943521,0.8908614212000295,0.8908614212000295,2499.9999999999745,2499.9999999999745,1.7333369499484946e-29,1.7333369499484946e-29,1.7333369499484946e-29,1.7333369499484946e-29,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.021000000000000102,21.000000000000103,0.0,21.000000000000103,0.0,1000802154030236.9,1000802154030236.9,0.6240520189150318,0.6240520189150318,0.8983652025939194,0.8983652025939194,2267.5736961451025,2267.5736961451025,1.5721877097038507e-29,1.5721877097038507e-29,1.5721877097038507e-29,1.5721877097038507e-29,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.022000000000000103,22.000000000000103,0.0,22.000000000000103,0.0,1008620291118294.4,1008620291118294.4,0.6289270326370839,0.6289270326370839,0.9053831154558531,0.9053831154558531,2066.1157024793197,2066.1157024793197,1.4325098759904928e-29,1.4325098759904928e-29,1.4325098759904928e-29,1.4325098759904928e-29,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.023000000000000104,23.000000000000103,0.0,23.000000000000103,0.0,1015931135622300.0,1015931135622300.0,0.6334857231378247,0.6334857231378247,0.9119456595886022,0.9119456595886022,1890.359168241949,1890.359168241949,1.3106517579950825e-29,1.3106517579950825e-29,1.3106517579950825e-29,1.3106517579950825e-29,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.003000000000000086,3.000000000000086,0.0,3.000000000000086,0.0,722563493752347.8,722563493752347.8,0.45055579192611145,0.45055579192611145,0.6486056178414124,0.6486056178414124,111111.11111110475,111111.11111110475,7.703719777548503e-28,7.703719777548503e-28,7.703719777548503e-28,7.703719777548503e-28,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.002000000000000085,2.0000000000000853,0.0,2.0000000000000853,0.0,-697141704762006.2,697141704762006.2,-0.43470398877004507,0.43470398877004507,-0.625785872175759,0.625785872175759,249999.99999997873,249999.99999997873,1.733336949948365e-27,1.733336949948365e-27,1.733336949948365e-27,1.733336949948365e-27,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.0010000000000000842,1.0000000000000842,0.0,1.0000000000000842,0.0,-683299063946045.6,683299063946045.6,-0.42607238469772324,0.42607238469772324,-0.6133600927437439,0.6133600927437439,999999.9999998315,999999.9999998315,6.933347799792881e-27,6.933347799792881e-27,6.933347799792881e-27,6.933347799792881e-27,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
8.326672684688674e-17,8.326672684688674e-14,0.0,8.326672684688674e-14,0.0,-668379612615109.8,668379612615109.8,-0.4167693334535971,0.4167693334535971,0.0,0.0,1.442304682926341e+32,1.442304682926341e+32,1.0,1.0,0.0,0.0,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.00800000000000009,8.00000000000009,0.0,8.00000000000009,0.0,834286707441510.2,834286707441510.2,0.520221006755666,0.520221006755666,0.7488934190777752,0.7488934190777752,15624.999999999645,15624.999999999645,1.0833355937177957e-28,1.0833355937177957e-28,1.0833355937177957e-28,1.0833355937177957e-28,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.009000000000000091,9.00000000000009,0.0,9.00000000000009,0.0,852680962692904.5,852680962692904.5,0.5316907783582201,0.5316907783582201,0.7654049331457033,0.7654049331457033,12345.679012345428,12345.679012345428,8.559688641720875e-29,8.559688641720875e-29,8.559688641720875e-29,8.559688641720875e-29,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.010000000000000092,10.000000000000092,0.0,10.000000000000092,0.0,869928359747601.1,869928359747601.1,0.5424454244285436,0.5424454244285436,0.780886975512283,0.780886975512283,9999.999999999814,9999.999999999814,6.933347799793921e-29,6.933347799793921e-29,6.933347799793921e-29,6.933347799793921e-29,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.011000000000000093,11.000000000000092,0.0,11.000000000000092,0.0,886095420280102.5,886095420280102.5,0.5525264246787931,0.5525264246787931,0.7953992590361951,0.7953992590361951,8264.462809917215,8264.462809917215,5.730039503961928e-29,5.730039503961928e-29,5.730039503961928e-29,5.730039503961928e-29,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.0070000000000000895,7.00000000000009,0.0,7.00000000000009,0.0,814675892994896.6,814675892994896.6,0.5079926474354006,0.5079926474354006,0.731289866545022,0.731289866545022,20408.1632653056,20408.1632653056,1.4149689387334432e-28,1.4149689387334432e-28,1.4149689387334432e-28,1.4149689387334432e-28,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.006000000000000089,6.000000000000089,0.0,6.000000000000089,0.0,793775651075239.2,793775651075239.2,0.49496026324912445,0.49496026324912445,0.7125288656910534,0.7125288656910534,27777.77777777696,27777.77777777696,1.9259299443871791e-28,1.9259299443871791e-28,1.9259299443871791e-28,1.9259299443871791e-28,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.005000000000000088,5.000000000000088,0.0,5.000000000000088,0.0,771509994282952.1,771509994282952.1,0.48107647211444216,0.48107647211444216,0.6925422067949482,0.6925422067949482,39999.999999998596,39999.999999998596,2.7733391199175223e-28,2.7733391199175223e-28,2.7733391199175223e-28,2.7733391199175223e-28,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.004000000000000087,4.000000000000087,0.0,4.000000000000087,0.0,747799907864649.6,747799907864649.6,0.46629200423694345,0.46629200423694345,0.6712589626463209,0.6712589626463209,62499.99999999728,62499.99999999728,4.333342374871092e-28,4.333342374871092e-28,4.333342374871092e-28,4.333342374871092e-28,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.024000000000000105,24.000000000000103,0.0,24.000000000000103,0.0,1022766627675985.4,1022766627675985.4,0.6377480067462302,0.6377480067462302,0.918081505898394,0.918081505898394,1736.1111111110959,1736.1111111110959,1.2037062152420119e-29,1.2037062152420119e-29,1.2037062152420119e-29,1.2037062152420119e-29,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.025000000000000105,25.000000000000107,0.0,25.000000000000107,0.0,1029156775663418.6,1029156775663418.6,0.6417325952452305,0.6417325952452305,0.9238175912657344,0.9238175912657344,1599.9999999999866,1599.9999999999866,1.1093356479670386e-29,1.1093356479670386e-29,1.1093356479670386e-29,1.1093356479670386e-29,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.026000000000000106,26.000000000000107,0.0,26.000000000000107,0.0,1035129758999152.5,1035129758999152.5,0.6454570599604592,0.6454570599604592,0.9291792108055087,0.9291792108055087,1479.2899408283902,1479.2899408283902,1.0256431656499988e-29,1.0256431656499988e-29,1.0256431656499988e-29,1.0256431656499988e-29,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.027000000000000107,27.000000000000107,0.0,27.000000000000107,0.0,1040712027637008.5,1040712027637008.5,0.648937893809139,0.648937893809139,0.9341901071905595,0.9341901071905595,1371.7421124828422,1371.7421124828422,9.510765157467756e-30,9.510765157467756e-30,9.510765157467756e-30,9.510765157467756e-30,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.016000000000000097,16.000000000000096,0.0,16.000000000000096,0.0,952835455325219.6,952835455325219.6,0.5941422959522945,0.5941422959522945,0.8553081279999408,0.8553081279999408,3906.2499999999523,3906.2499999999523,2.7083389842945173e-29,2.7083389842945173e-29,2.7083389842945173e-29,2.7083389842945173e-29,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.0170000000000001,17.0000000000001,0.0,17.0000000000001,0.0,963744284384849.2,963744284384849.2,0.6009445163224709,0.6009445163224709,0.8651003855293151,0.8651003855293151,3460.2076124567075,3460.2076124567075,2.3990822836657334e-29,2.3990822836657334e-29,2.3990822836657334e-29,2.3990822836657334e-29,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.0180000000000001,18.0000000000001,0.0,18.0000000000001,0.0,973953373820851.9,973953373820851.9,0.6073104127668035,0.6073104127668035,0.8742645251772369,0.8742645251772369,3086.4197530863858,3086.4197530863858,2.1399221604302385e-29,2.1399221604302385e-29,2.1399221604302385e-29,2.1399221604302385e-29,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
0.0190000000000001,19.0000000000001,0.0,19.0000000000001,0.0,983505946256993.1,983505946256993.1,0.6132669368316248,0.6132669368316248,0.8828393455224256,0.8828393455224256,2770.0831024930458,2770.0831024930458,1.9205949583916834e-29,1.9205949583916834e-29,1.9205949583916834e-29,1.9205949583916834e-29,porous/transmitted,Pe0p1,0.1,11169.2,0.7800156433320298
