case,TimeStep,n_omega,n_k,frequency_spacing_Hz,time_alias_period_us,post_T0_peak,post_T0_peak_norm_to_n256,pre_to_post_T0_ratio
Pe0p1,1,16,81,75000.0,13.333333333333334,2.6176188409938428e+16,1.0056742390502813,0.9063518052145383
Pe0p1,1,32,81,36290.32258064516,27.555555555555557,2.6053966922694856e+16,1.0009785591730458,0.006810966605564995
Pe0p1,1,64,81,17857.14285714286,55.99999999999999,2.6027280682014396e+16,0.999953289016477,0.007147960003554559
Pe0p1,1,128,81,8858.267716535433,112.8888888888889,2.6030075949157604e+16,1.0000606815868986,0.007228945039845591
Pe0p1,1,256,81,4411.764705882353,226.66666666666666,2.6028496498685476e+16,1.0,0.007248809189823847
