Time_s,Time_norm,RE_abs,TTM_abs,RE_real,RE_imag,TTM_real,TTM_imag,case,Pe,RE_phase_rad,TTM_phase_rad
102.4,0.007151237499301637,1447758136.0135963,4.077467890177788e-07,1446876916.0744033,50505545.48351238,-8.1050234837402e-08,3.9961018929340503e-07,Pe0p1,0.1,0.03489242708688586,1.7709050643884097
204.8,0.014302474998603274,1431596779.4648988,4.0678796685269635e-07,1430432643.1292686,57721680.88755521,-8.743642442927048e-08,3.9727990341719384e-07,Pe0p1,0.1,0.04033072211208613,1.787430291664886
409.6,0.028604949997206548,1417789187.8500533,4.1289976872219416e-07,1416037080.976456,70463937.47295158,-9.761979603510753e-08,4.0119396111221e-07,Pe0p1,0.1,0.04972035259354503,1.8094811324679474
819.2,0.057209899994413095,1411768585.0438905,4.337870283424975e-07,1408574836.9651008,94907672.95413193,-1.188386075925105e-07,4.171912886239213e-07,Pe0p1,0.1,0.06727682320561598,1.848300447277443
1269.2,0.088636236661266,1401043317.1517327,4.547311524204769e-07,1395973528.8112414,119080995.0992215,-1.3856237941615723e-07,4.3310609322911617e-07,Pe0p1,0.1,0.08509718193240959,1.8804331478102927
1719.2,0.12006257332811889,1362460621.0946672,4.562368992885548e-07,1356032469.1039891,132192612.38588738,-1.5241142656546745e-07,4.300265867649511e-07,Pe0p1,0.1,0.09717778291966779,1.911406245739701
2169.2,0.15148890999497178,1307576650.3606858,4.4707827981173693e-07,1300360077.1613793,137187340.13502312,-1.5853142544080718e-07,4.180272424461443e-07,Pe0p1,0.1,0.10511068668318083,1.9332765017200242
2619.2,0.18291524666182465,1276247695.2068198,4.5851097130873617e-07,1267779841.2196295,146773477.56952104,-1.7197797660345107e-07,4.250363353571828e-07,Pe0p1,0.1,0.1152589377484938,1.955278650996202
3069.2,0.21434158332867756,1270687670.2713382,4.99687816602182e-07,1259677467.0641422,166912654.85417217,-2.0033827071765695e-07,4.5776903712081125e-07,Pe0p1,0.1,0.13173687120230462,1.983324690960521
3519.2,0.24576791999553046,1257950199.8802443,5.449615967141449e-07,1244932267.565374,180505829.69334394,-2.295228014314919e-07,4.942695878933583e-07,Pe0p1,0.1,0.14398906661302868,2.005533936239064
3969.2,0.27719425666238334,1244447792.5656607,6.125588871152089e-07,1228944511.5726116,195820570.66891918,-2.716977763224497e-07,5.490070204699201e-07,Pe0p1,0.1,0.15801210846632996,2.0303471350231668
4419.2,0.30862059332923625,1226026531.5381014,7.047877065716858e-07,1208345094.4149163,207468524.93511862,-3.1838920500739397e-07,6.28771838960156e-07,Pe0p1,0.1,0.17003846265260272,2.0395244200311207
4869.2,0.34004692999608915,1182267249.1136458,8.24710343041643e-07,1162968364.7015898,212744990.61095998,-3.6947286361957855e-07,7.37317403136948e-07,Pe0p1,0.1,0.18093218103186504,2.0353269231101687
5319.2,0.37147326666294206,1109635936.474073,9.750816876531363e-07,1089628998.4714718,209763097.81453475,-4.0609159218653546e-07,8.864952996783981e-07,Pe0p1,0.1,0.19018215149130635,2.000354662862931
5769.2,0.4028996033297949,957157724.6569346,1.2685028530970375e-06,940166789.2051123,179547537.84496745,-4.2327691049713807e-07,1.195799375043875e-06,Pe0p1,0.1,0.1887019707921402,1.9110033628418799
6219.2,0.4343259399966478,728452476.8839793,2.0290431083573925e-06,728202957.7579745,-19064715.863132615,-7.310843366338916e-07,1.8927576781778518e-06,Pe0p1,0.1,-0.02617451862988742,1.9393964219198756
6669.2,0.4657522766635007,907853369.29177,3.785938910631376e-06,631731412.7349495,-652007026.2645364,-2.3257828900611543e-06,2.9873177573421074e-06,Pe0p1,0.1,-0.8011910439441496,2.2323218554546
7119.2,0.4971786133303536,2500618784.30782,6.545590319536345e-06,2155123398.7794447,-1268281293.9038618,-6.542535461263841e-06,-1.999559184246631e-07,Pe0p1,0.1,-0.5319176606435637,-3.1110397131727714
7569.2,0.5286049499972065,2266526152.5099897,4.058415533648807e-06,2241793261.267111,333921807.83696705,-2.427326902669468e-06,-3.2525099156403784e-06,Pe0p1,0.1,0.1478658193989989,-2.2119210312387034
8019.2,0.5600312866640594,1719646314.7961955,2.357473765842334e-06,1616634328.7558188,586239622.577969,-7.796735417897766e-07,-2.2248127392811785e-06,Pe0p1,0.1,0.3478816197021844,-1.9078671439363633
8469.2,0.5914576233309123,1390248851.5893884,1.5629323644649656e-06,1272236390.8495443,560541198.435707,-3.2879912738624177e-07,-1.5279557289797678e-06,Pe0p1,0.1,0.4150053926586152,-1.7827530429693903
8919.2,0.6228839599977652,1153457924.7551358,1.1070721936135947e-06,1038532625.8863916,501911515.25935405,-1.5925132039873528e-07,-1.095558240726469e-06,Pe0p1,0.1,0.4501897522560035,-1.7151461884441297
9369.2,0.6543102966646182,905145566.6253194,7.116874988858952e-07,807033914.5523133,409859436.3240156,-8.139979793478559e-08,-7.070170924147712e-07,Pe0p1,0.1,0.46991502395266666,-1.6854229391967506
9819.2,0.6857366333314711,669181601.0470461,4.186822103594167e-07,593285253.8474921,309542602.47501445,-4.370018076905633e-08,-4.1639534996466837e-07,Pe0p1,0.1,0.4808905526907036,-1.6753623150816548
10269.2,0.717162969998324,509462712.32459563,2.703342679657555e-07,449584373.1375119,239637531.86778596,-3.040579576538056e-08,-2.6861888247190455e-07,Pe0p1,0.1,0.4897134699144741,-1.6835096436422836
10719.2,0.7485893066651769,335864892.0810436,1.4364157200665545e-07,294620773.8338435,161257016.4617908,-2.028403976619929e-08,-1.422021762818925e-07,Pe0p1,0.1,0.5007968158765278,-1.7124827896216854
11169.2,0.7800156433320298,232834799.59634528,9.072642721977109e-08,202868580.61084878,114264530.3845853,-1.8229680478791867e-08,-8.887611234581301e-08,Pe0p1,0.1,0.5129545289288593,-1.7731037359011113
11619.2,0.8114419799988827,101637096.04235263,2.9749749198865973e-08,86663641.19386667,53099082.731655076,-7.49251692389545e-09,-2.879079310370881e-08,Pe0p1,0.1,0.549707701826985,-1.8253892056448195
12069.2,0.8428683166657355,36526881.52416782,5.256223968904565e-09,30014856.968593728,20816374.204828594,-1.2667185092038222e-09,-5.101305188844057e-09,Pe0p1,0.1,0.6063743055582108,-1.814186247786635
12519.2,0.8742946533325884,8832423.733045934,5.333712417397287e-10,6898386.142903668,5515793.471792407,-1.1409087621325068e-10,-5.210260583501298e-10,Pe0p1,0.1,0.6744831898520827,-1.7863672672970143
12969.2,0.9057209899994413,1107497.0029171894,9.087323790104316e-11,829492.1676448468,733820.3835315632,8.610145642647192e-11,-2.9060016652781598e-11,Pe0p1,0.1,0.724276275290641,-0.3255039369298917
13419.2,0.9371473266662942,303653.0020310319,1.4040120105286623e-11,-220412.6512643245,-208862.17657845357,-1.3868603544715674e-11,-2.1878775766421494e-12,Pe0p1,0.1,-2.383094945786529,-2.9851245829015465
13869.2,0.9685736633331471,245430.97558587242,4.917007660831124e-12,-176395.09113820296,-170649.15938667316,7.911904239666182e-13,-4.852935405473215e-12,Pe0p1,0.1,-2.3727497473146104,-1.4091848160455094
14319.2,1.0,182227.91836500022,3.771189913585812e-12,-130585.90968665287,-127099.70268631837,2.082109673463536e-13,-3.76543776437854e-12,Pe0p1,0.1,-2.3697225808617337,-1.5155572915607642
0.1,7.404116688879017e-05,1479561893.0749397,4.1754759187499094e-07,1478876233.5557947,45038664.093483075,-7.906412369697315e-08,4.099937265674119e-07,Pe1,1.0,0.03044524387686021,1.7613000829712795
0.2,0.00014808233377758035,1479562201.774577,4.175515942412158e-07,1478876538.564032,45038790.00262761,-7.94467649490143e-08,4.099238287688543e-07,Pe1,1.0,0.03044532266109775,1.7622315949976775
