case,Pe,n_rows,valid_rows,final_Time_s,valid_final_Time_s,porosity_initial,porosity_valid_final,permeability_factor_valid,tortuosity_change_valid,C_molL_factor_valid,RE_abs_factor_valid,TTM_abs_factor_valid,L_abs_factor_valid,sigma_abs_factor_valid
Pe0p1,0.1,44,37,14319.2,11169.2,0.545,0.9327,19.71853574616771,-0.1966056113147001,1.0545573460331366,0.15736739604313132,0.2172681434849949,0.29446186070047004,2.1471226358206117
Pe1,1.0,62,43,1350.6,875.6,0.545,0.94505,215.45598670313703,-0.21045786427417812,54.62694680049391,0.00014105676760014802,9.095575581030573e-06,0.0101104701643081,114.23369653424507
Pe10,10.0,87,45,406.4,196.4,0.545,0.94845,211.777289656777,-0.21078447583406068,75.31263136639848,0.00010322931582374488,1.3937117029571859e-05,0.010272208625853294,158.10859172040824
