TimeStep,Time_s,Porosity,Permeability_mD,k_k0,DissolutionRate,SurfaceArea_cm2,GrainVolume_cm3,InjectedPV,OutletHConc,Tortuosity,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,C_molL,pH,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,case,Pe,k0_m2,InjectedPV_norm,Time_norm,PoreVolumeToSurface_m
11,102.4,0.5527,19802.5074415921,1.0517899929558,5.37438897281307e-09,0.741389249259063,0.00107292825488477,3.13091849812948,2.22044604925031e-16,1.22660304735036,1.7066666666666668,0.5527,0.5527,True,0.0010001,7.0,23055.887155955254,1.862747866101359e-05,1.2416274473109072e-09,0.00570927768650223,1446876916.0744033,50505545.48351238,1447758136.0135963,-8.1050234837402e-08,3.9961018929340503e-07,4.077467890177788e-07,1.40805709216808e+27,Pe0p1,0.1,1.9543555992530635e-11,0.007151237499301634,0.007151237499301637,1.7881953639535283e-05
12,204.8,0.56015,20513.3814918231,1.08954734335652,5.39527650825465e-09,0.736232471322314,0.00105476065086654,6.26183699625897,2.22044604925031e-16,1.2301251315222,3.4133333333333336,0.56015,0.56015,True,0.0010001,7.0,22492.327065985493,1.8859396814894152e-05,1.239329580942726e-09,0.005769506556925589,1430432643.1292686,57721680.88755521,1431596779.4648988,-8.743642442927048e-08,3.9727990341719384e-07,4.0678796685269635e-07,1.384906156113379e+27,Pe0p1,0.1,2.0245134156068977e-11,0.014302474998603291,0.014302474998603274,1.8244782716752818e-05
13,409.6,0.5718,21430.1443872753,1.13824026985554,5.43306653238993e-09,0.727287660980492,0.00102542060476674,12.5236739925179,2.22044604925031e-16,1.2319199734279,6.826666666666667,0.5718,0.5718,True,0.0010001,7.0,21945.887826952217,1.9092746923624726e-05,1.2478213879254942e-09,0.00588075896678847,1416037080.976456,70463937.47295158,1417789187.8500533,-9.761979603510753e-08,4.0119396111221e-07,4.1289976872219416e-07,1.3324725847645627e+27,Pe0p1,0.1,2.114990881816622e-11,0.02860494999720649,0.028604949997206548,1.8827528274215623e-05
14,819.2,0.58865,22801.1420343216,1.21105941206682,5.49988706615399e-09,0.711945451938183,0.000985858525719339,25.0473479850359,2.22044604925031e-16,1.22062746622211,13.653333333333334,0.58865,0.58865,True,0.0010001,7.0,21430.584099843407,1.932092832708488e-05,1.2811643618080217e-09,0.0061099038966607126,1408574836.9651008,94907672.95413193,1411768585.0438905,-1.188386075925105e-07,4.171912886239213e-07,4.337870283424975e-07,1.2264842309029093e+27,Pe0p1,0.1,2.250297834028139e-11,0.057209899994413206,0.057209899994413095,1.9815887285926233e-05
15,1269.2,0.6039,24448.1162310331,1.29853676733948,5.61840796806903e-09,0.689540826594245,0.000949984699815983,38.8062671662689,2.22044604925031e-16,1.20379736595142,21.153333333333332,0.6039,0.6039,True,0.0010001,7.0,20791.35707079853,1.9615689346261996e-05,1.3127029106333765e-09,0.006355617189818246,1395973528.8112414,119080995.0992215,1401043317.1517327,-1.3856237941615723e-07,4.3310609322911617e-07,4.547311524204769e-07,1.1295011504044644e+27,Pe0p1,0.1,2.412841554951475e-11,0.08863623666126595,0.088636236661266,2.1004715945045894e-05
16,1719.2,0.6176,26601.378262903,1.41290508478677,5.80096180781151e-09,0.668058871803423,0.000916832134943034,52.565186347502,2.22044604925031e-16,1.19961590465876,28.653333333333332,0.6176,0.6176,True,0.0010001,7.0,19609.997183158008,2.0197900473470525e-05,1.3083272777222317e-09,0.0065220508724624544,1356032469.1039891,132192612.38588738,1362460621.0946672,-1.5241142656546745e-07,4.300265867649511e-07,4.562368992885548e-07,1.0836201097263161e+27,Pe0p1,0.1,2.6253520019772498e-11,0.1200625733281189,0.12006257332811889,2.2164834600602404e-05
17,2169.2,0.63155,29142.1510259923,1.54785563963313,5.98749626541444e-09,0.647827902939616,0.000883516201325213,66.3241055287351,2.22044604925031e-16,1.20661132634772,36.15333333333333,0.63155,0.63155,True,0.0010001,7.0,18198.489189134292,2.0966566986488547e-05,1.2813552889436475e-09,0.006630192279312014,1300360077.1613793,137187340.13502312,1307576650.3606858,-1.5853142544080718e-07,4.180272424461443e-07,4.4707827981173693e-07,1.065432532388152e+27,Pe0p1,0.1,2.876106785967071e-11,0.15148890999497186,0.15148890999497178,2.3376745380220844e-05
18,2619.2,0.64575,31134.7397674249,1.65368995907458,6.17447933602322e-09,0.624038606900439,0.000849295749893406,80.0830247099682,2.22044604925031e-16,1.20564024916211,43.65333333333333,0.64575,0.64575,True,0.0010001,7.0,17430.82868046343,2.1423280605083147e-05,1.2832660399478959e-09,0.006784436586877359,1267779841.2196295,146773477.56952104,1276247695.2068198,-1.7197797660345107e-07,4.250363353571828e-07,4.5851097130873617e-07,1.0163967672619491e+27,Pe0p1,0.1,3.0727600115908216e-11,0.18291524666182482,0.18291524666182465,2.4808588071670187e-05
19,3069.2,0.6596,32748.0292035543,1.73937818263249,6.40985983201814e-09,0.596411311231873,0.000817229873099552,93.8419438912013,2.22044604925031e-16,1.18435844849789,51.15333333333333,0.6596,0.6596,True,0.0010001,7.0,17231.73127741095,2.1546688683854712e-05,1.3267002337807582e-09,0.0070543935761273715,1259677467.0641422,166912654.85417217,1270687670.2713382,-2.0033827071765695e-07,4.5776903712081125e-07,4.99687816602182e-07,9.227737630876761e+26,Pe0p1,0.1,3.2319793050068184e-11,0.21434158332867778,0.21434158332867756,2.6551524237869464e-05
20,3519.2,0.6743,34099.1326719156,1.81114066582619,6.70678091556825e-09,0.569414975696673,0.000780158159019563,107.600863072434,2.22044604925031e-16,1.1743870324438,58.65333333333333,0.6743,0.6743,True,0.0010001,7.0,17061.420140206086,2.165396371256331e-05,1.3610066379547303e-09,0.007272770645590466,1244932267.565374,180505829.69334394,1257950199.8802443,-2.295228014314919e-07,4.942695878933583e-07,5.449615967141449e-07,8.486390220677665e+26,Pe0p1,0.1,3.365322854370476e-11,0.24576791999552983,0.24576791999553046,2.836541689598972e-05
21,3969.2,0.6898,35544.2467190168,1.88789642506041,7.02475377487464e-09,0.536862498849846,0.00074348022357536,121.359782253667,2.22044604925031e-16,1.15851985250039,66.15333333333334,0.6898,0.6898,True,0.0010001,7.0,16973.327567800254,2.171008366553367e-05,1.4077122331785783e-09,0.007541808433874025,1228944511.5726116,195820570.66891918,1244447792.5656607,-2.716977763224497e-07,5.490070204699201e-07,6.125588871152089e-07,7.660458153079398e+26,Pe0p1,0.1,3.507944526794624e-11,0.27719425666238257,0.27719425666238334,3.079553468689766e-05
22,4419.2,0.7056,36736.776810598,1.95123644502119,7.45069735463651e-09,0.5124369080947,0.000705515283004197,135.1187014349,2.66142132087097e-16,1.14521715886173,73.65333333333334,0.7056,0.7056,True,0.0010001,7.0,16993.634518429004,2.169710829581092e-05,1.4575536713341118e-09,0.007804175345922136,1208345094.4149163,207468524.93511862,1226026531.5381014,-3.1838920500739397e-07,6.28771838960156e-07,7.047877065716858e-07,6.896098921951512e+26,Pe0p1,0.1,3.625638100127886e-11,0.3086205933292353,0.30862059332923625,3.299793709596418e-05
23,4869.2,0.7221,38627.677176229,2.05166969005914,7.80583899551535e-09,0.490301411886434,0.000665694235234662,148.877620616134,5.36064138891596e-16,1.13254520292666,81.15333333333334,0.7221,0.7221,True,0.0010001,7.0,16724.756545308373,2.187082125262468e-05,1.496346602673108e-09,0.008075908146499252,1162968364.7015898,212744990.61095998,1182267249.1136458,-3.6947286361957855e-07,7.37317403136948e-07,8.24710343041643e-07,6.227356283583445e+26,Pe0p1,0.1,3.812255463009861e-11,0.3400469299960903,0.34004692999608915,3.527933988695842e-05
24,5319.2,0.7365,41102.9384991006,2.18314067155104,8.15824695362784e-09,0.46527539575666,0.000630436252214207,162.636539797367,1.31536507814765e-15,1.12038213197898,88.65333333333334,0.7365,0.7365,True,0.0010001,7.0,16205.047326016424,2.22187612161171e-05,1.518594606468097e-09,0.008326126387092738,1089628998.4714718,209763097.81453475,1109635936.474073,-4.0609159218653546e-07,8.864952996783981e-07,9.750816876531363e-07,5.717058095371367e+26,Pe0p1,0.1,4.056544770322942e-11,0.371473266662943,0.37147326666294206,3.7872434489113077e-05
25,5769.2,0.75115,44540.0525416459,2.3656994795838,8.59705893769584e-09,0.443261263757643,0.000594325680899816,176.3954589786,2.78458255510668e-15,1.11048806370079,96.15333333333334,0.75115,0.75115,True,0.0010001,7.0,15387.874991885554,2.280109314512213e-05,1.5226904796652703e-09,0.008566986629189522,940166789.2051123,179547537.84496745,957157724.6569346,-4.2327691049713807e-07,1.195799375043875e-06,1.2685028530970375e-06,5.300873176377336e+26,Pe0p1,0.1,4.395761563657456e-11,0.4028996033297958,0.4028996033297949,4.047191392751577e-05
26,6219.2,0.7653,47405.3340968944,2.51788598807017,9.02402336015878e-09,0.419937245057383,0.000560682632510128,190.154378159833,9.99743003044623e-15,1.10464981505447,103.65333333333334,0.7653,0.7653,True,0.0010001,7.0,14808.002369225098,2.3243244779480343e-05,1.529904896445217e-09,0.008774190903354748,728202957.7579745,-19064715.863132615,728452476.8839793,-7.310843366338916e-07,1.8927576781778518e-06,2.0290431083573925e-06,4.9272749983361366e+26,Pe0p1,0.1,4.678542876450955e-11,0.4343259399966485,0.4343259399966478,4.35362815187001e-05
27,6669.2,0.7804,50972.6847053333,2.70736217851665,9.52523274231853e-09,0.400662850976123,0.0005227457456593,203.913297341066,2.77295831303905e-14,1.09799679660201,111.15333333333334,0.7804,0.7804,True,0.0010001,7.0,14128.4746644189,2.3795638080923302e-05,1.5331068923471755e-09,0.00900114659277452,631731412.7349495,-652007026.2645364,907853369.29177,-2.3257828900611543e-06,2.9873177573421074e-06,3.785938910631376e-06,4.5514953027390455e+26,Pe0p1,0.1,5.0306130199247066e-11,0.4657522766635012,0.4657522766635007,4.636565026063691e-05
28,7119.2,0.79425,55229.8850057114,2.93347903200872,9.98345609086463e-09,0.372322115392624,0.00048948165799291,217.672216522299,7.03873657780734e-14,1.08542198582978,118.65333333333334,0.79425,0.79425,True,0.0010001,7.0,13424.591152299416,2.4411499627129864e-05,1.5385699106907775e-09,0.009266607825031048,2155123398.7794447,-1268281293.9038618,2500618784.30782,-6.542535461263841e-06,-1.999559184246631e-07,6.545590319536345e-06,4.165180896812839e+26,Pe0p1,0.1,5.450766036845722e-11,0.497178613330354,0.4971786133303536,5.0749874030549126e-05
29,7569.2,0.8078,62701.3739978356,3.33031955220922,1.07433850649772e-08,0.345504690670545,0.00045695659766177,231.431135703532,2.59925567792322e-13,1.07498664205791,126.15333333333334,0.8078,0.8078,True,0.0010001,7.0,12143.400569074789,2.5666983589199815e-05,1.5027200573439375e-09,0.009515380298848797,2241793261.267111,333921807.83696705,2266526152.5099897,-2.427326902669468e-06,-3.2525099156403784e-06,4.058415533648807e-06,3.911155818453509e+26,Pe0p1,0.1,6.188144694047811e-11,0.5286049499972066,0.5286049499972065,5.558677393497241e-05
30,8019.2,0.82375,72510.8002816605,3.85133722799579,1.1577264503237e-08,0.319808001741603,0.000418382495130951,245.190054884765,1.57076409245223e-12,1.07137341733354,133.65333333333334,0.82375,0.82375,True,0.0010001,7.0,10744.060878066628,2.728731241909009e-05,1.446255039417063e-09,0.009735033083761366,1616634328.7558188,586239622.577969,1719646314.7961955,-7.796735417897766e-07,-2.2248127392811785e-06,2.357473765842334e-06,3.701254683123054e+26,Pe0p1,0.1,7.156259829961731e-11,0.5600312866640594,0.5600312866640594,6.114352627308199e-05
31,8469.2,0.83965,87727.5741671511,4.65956065854048,1.25074851354229e-08,0.298047400214856,0.000378745722720842,258.948974065998,8.77029178748822e-12,1.06995132308093,141.15333333333334,0.83965,0.83965,True,0.0010001,7.0,9063.89257219039,2.970897160910311e-05,1.355802623242229e-09,0.009934871686477623,1272236390.8495443,560541198.435707,1390248851.5893884,-3.2879912738624177e-07,-1.5279557289797678e-06,1.5629323644649656e-06,3.584755380473983e+26,Pe0p1,0.1,8.658038699803953e-11,0.5914576233309122,0.5914576233309123,6.654136829198355e-05
32,8919.2,0.85615,108230.266466499,5.74854025633691,1.34206164309546e-08,0.27545537261871,0.000338597238945048,272.707893247231,6.48662836803161e-11,1.06257754493758,148.65333333333334,0.85615,0.85615,True,0.0010001,7.0,7543.225609960328,3.256615194856855e-05,1.2699055921302215e-09,0.0101991259686592,1038532625.8863916,501911515.25935405,1153457924.7551358,-1.5925132039873528e-07,-1.095558240726469e-06,1.1070721936135947e-06,3.390139338854352e+26,Pe0p1,0.1,1.0681497174099655e-10,0.6228839599977649,0.6228839599977652,7.315974106097948e-05
33,9369.2,0.87075,137344.031536101,7.29488820483752,1.45209789250998e-08,0.251240823049388,0.000302996017068638,286.466812428464,2.23064398095441e-10,1.05121977839913,156.15333333333334,0.87075,0.87075,True,0.0010002230643980955,6.651569739193987,6110.922362154706,3.6181920114527665e-05,1.0931426156580755e-09,0.01048302563828253,807033914.5523133,409859436.3240156,905145566.6253194,-8.139979793478559e-08,-7.070170924147712e-07,7.116874988858952e-07,3.455999692069024e+26,Pe0p1,0.1,1.3554802483891289e-10,0.6543102966646176,0.6543102966646182,8.124743209753122e-05
34,9819.2,0.885,166807.420403288,8.85980606488511,1.59195201566047e-08,0.227094260582971,0.000268232424061025,300.225731609697,1.21191847709783e-09,1.04566830117873,163.65333333333334,0.885,0.885,True,0.0010012119184770979,5.916526593154335,5141.034986176978,3.944752079734214e-05,8.624417672607731e-10,0.010717506864574684,593285253.8474921,309542602.47501445,669181601.0470461,-4.370018076905633e-08,-4.1639534996466837e-07,4.186822103594167e-07,3.8602692479713374e+26,Pe0p1,0.1,1.6462612980890035e-10,0.6857366333314704,0.6857366333314711,9.08972085881937e-05
35,10269.2,0.8994,206839.505477594,10.9860694485753,1.76049037651514e-08,0.198758212354627,0.000234267009344327,313.984650790931,3.88193531312219e-09,1.03987766650634,171.15333333333334,0.8994,0.8994,True,0.0010038819353131222,5.410951705781286,4236.953905665866,4.3452835740696134e-05,6.965305400862641e-10,0.010979442304526764,449584373.1375119,239637531.86778596,509462712.32459563,-3.040579576538056e-08,-2.6861888247190455e-07,2.703342679657555e-07,4.1350037155362466e+26,Pe0p1,0.1,2.0413472731631518e-10,0.7171629699983254,0.717162969998324,0.00010537581677007578
36,10719.2,0.91685,262952.24999717,13.9664406635365,2.00877611568205e-08,0.17556785463558,0.000192685763015607,327.743569972164,2.32172961229036e-08,1.03200592566476,178.65333333333334,0.91685,0.91685,True,0.0010232172961229036,4.634188359415623,3423.3854841407165,4.8341162615846065e-05,4.951308810510452e-10,0.011492693438027756,294620773.8338435,161257016.4617908,335864892.0810436,-2.028403976619929e-08,-1.422021762818925e-07,1.4364157200665545e-07,4.69224655681294e+26,Pe0p1,0.1,2.5951370230963205e-10,0.7485893066651781,0.7485893066651769,0.00012101540555868559
37,11169.2,0.9327,371249.444723699,19.7185357461677,2.25894270582425e-08,0.152223444817721,0.000153970168653989,341.502489153397,5.466280176774e-08,1.02202862406181,186.15333333333334,0.9327,0.9327,True,0.00105466280176774,4.262308112103934,2490.747496527642,5.667351408713396e-05,3.7075935785475414e-10,0.012167381562205426,202868580.61084878,114264530.3845853,232834799.59634528,-1.8229680478791867e-08,-8.887611234581301e-08,9.072642721977109e-08,4.836378064099668e+26,Pe0p1,0.1,3.663947271098806e-10,0.7800156433320308,0.7800156433320298,0.00014017867551712897
38,11619.2,0.951,672778.377251706,35.7339375711653,2.55762432039457e-08,0.128565703830013,0.000111613728427622,355.26140833463,2.64597420429013e-07,1.01659832715406,193.65333333333334,0.951,0.95,False,0.001264597420429013,3.5774143940824037,1407.404020458908,7.539379421074729e-05,1.9309661802116273e-10,0.014938229782842217,86663641.19386667,53099082.731655076,101637096.04235263,-7.49251692389545e-09,-2.879079310370881e-08,2.9749749198865973e-08,6.023479009572284e+26,Pe0p1,0.1,6.639806562458987e-10,0.8114419799988836,0.8114419799988827,0.00016849108272583752
39,12069.2,0.9641,1232602.58463909,65.4684295733119,2.91388801862633e-08,0.102085145723994,7.98022451895084e-05,369.020327515863,8.26752833683047e-07,1.01291593983559,201.15333333333334,0.9641,0.95,False,0.0018267528336830471,3.0826243078738282,770.9810852669226,0.00010186456425514593,9.231728899828104e-11,0.021656845903737194,30014856.968593728,20816374.204828594,36526881.52416782,-1.2667185092038222e-09,-5.101305188844057e-09,5.256223968904565e-09,9.153559101002862e+26,Pe0p1,0.1,1.2164842104205401e-09,0.8428683166657364,0.8428683166657355,0.0002099327483284617
40,12519.2,0.9774,2053874.74023785,109.089462783365,3.42880428952934e-08,0.0711737978926004,5.08277539724013e-05,382.779246697096,2.33935621313291e-06,1.01058930624514,208.65333333333334,0.9774,0.95,False,0.00333935621313291,2.630903643253166,463.7581458073035,0.00013134066716082021,3.7221802383832653e-11,0.03968043072817101,6898386.142903668,5515793.471792407,8832423.733045934,-1.1409087621325068e-10,-5.210260583501298e-10,5.333712417397287e-10,1.3173217201739742e+27,Pe0p1,0.1,2.027016836422182e-09,0.874294653332589,0.8742946533325884,0.00030884791504877265
41,12969.2,0.9874,3553206.49832368,188.724940458445,3.94524209687092e-08,0.0394813575790552,2.7241314163008e-05,396.538165878329,5.82276466996916e-06,1.00627443603553,216.15333333333334,0.9874,0.95,False,0.00682276466996916,2.23487076177229,269.2175177191376,0.00017238256385277705,9.036373215639081e-12,0.08142035274344371,829492.1676448468,733820.3835315632,1107497.0029171894,8.610145642647192e-11,-2.9060016652781598e-11,9.087323790104316e-11,4.9826566664178263e+26,Pe0p1,0.1,3.506742282907051e-09,0.9057209899994417,0.9057209899994413,0.0005407027208014962
42,13419.2,0.99495,4462221.74961077,237.006358736811,4.6207771674506e-08,0.0173671081947308,1.06693235208499e-05,410.297085059562,1.84668446707213e-05,1.00507431887189,223.65333333333334,0.99495,0.95,False,0.0194668446707213,1.7336073037562454,214.63022363722993,0.00019306322407523319,6.8127912586532204e-12,0.23258775008274782,-220412.6512643245,-208862.17657845357,303653.0020310319,-1.3868603544715674e-11,-2.1878775766421494e-12,1.4040120105286623e-11,3.2266729971014005e+26,Pe0p1,0.1,4.403870614457635e-09,0.9371473266662945,0.9371473266662942,0.0012103730706176442
43,13869.2,0.9987,4650952.6461532,247.030607884572,7.56213307976847e-08,0.00934693336047617,2.13957500705322e-06,424.056004240795,3.94609765745291e-05,1.00377814955372,231.15333333333334,0.9987,0.95,False,0.0404609765745291,1.4038321710939374,206.1866524427623,0.00019697663755987986,1.134514983865573e-11,0.48404764545976886,-176395.09113820296,-170649.15938667316,245430.97558587242,7.911904239666182e-13,-4.852935405473215e-12,4.917007660831124e-12,3.611252613127948e+26,Pe0p1,0.1,4.590133533685249e-09,0.9685736633331472,0.9685736633331471,0.0017585311568025647
44,14319.2,1.0,4667231.38137131,247.895236308567,5.65571798747525e-09,0.0,-1.35742111995185e-16,437.814923422028,5.73310510253036e-05,1.00370574582253,238.65333333333334,1.0,0.95,False,0.0583310510253036,1.2416100964198882,205.48232017292287,0.00019731393742623168,1.2107251502168547e-11,0.6978833876117047,-130585.90968665287,-127099.70268631837,182227.91836500022,2.082109673463536e-13,-3.76543776437854e-12,3.771189913585812e-12,2.4336934615587767e+26,Pe0p1,0.1,4.606199396766532e-09,1.0,1.0,
1,0.1,0.545,18827.4342673194,1.0,5.3573496848406635e-08,0.7466378405944797,0.0010917577054633998,0.030575375958295733,0.0,1.2186342353923165,0.0016666666666666668,0.545,0.545,True,0.0010001,7.0,24068.47563549736,1.8231428594914342e-05,1.2591082645384715e-09,0.005666831209081565,1478876233.5557947,45038664.093483075,1479561893.0749397,-7.906412369697315e-08,4.099937265674119e-07,4.1754759187499094e-07,1.4115644863227746e+27,Pe1,1.0,1.8581233557635945e-11,7.404116688879019e-05,7.404116688879017e-05,1.751464643193459e-05
2,0.2,0.545,18827.4342673194,1.0,5.357349684813839e-08,0.7466299942338449,0.0010917331428183287,0.061150751916591466,2.220446049250313e-16,1.218633984611199,0.0033333333333333335,0.545,0.545,True,0.0010001,7.0,24068.48058851795,1.823142671900353e-05,1.2591086532136972e-09,0.005666832376603277,1478876538.564032,45038790.00262761,1479562201.774577,-7.94467649490143e-08,4.099238287688543e-07,4.175515942412158e-07,1.411550823867671e+27,Pe1,1.0,1.8581233557635945e-11,0.00014808233377758037,0.00014808233377758035,1.7514436440812593e-05
3,0.4,0.545,18827.4342673194,1.0,5.3574059715596505e-08,0.7465959162420582,0.0010916310927616287,0.12230150383318293,3.2403298249669055e-16,1.2186292371620637,0.006666666666666667,0.545,0.545,True,0.0010001,7.0,24068.574352793315,1.8231391206759328e-05,1.259116011125418e-09,0.005666854478636952,1478882337.1017883,45041158.13481401,1479568069.7141895,-7.993587974670762e-08,4.0978282815977545e-07,4.1750654021883793e-07,1.411702054737378e+27,Pe1,1.0,1.8581233557635945e-11,0.00029616466755516075,0.0002961646675551607,1.7513598636871766e-05
4,0.8,0.5452,18912.457689704042,1.0045159325045274,5.357649671313393e-08,0.7464781735490238,0.0010912808936713787,0.24460300766636586,9.598434253580758e-14,1.21789285995289,0.013333333333333334,0.5452,0.5452,True,0.0010001,7.0,23983.656259148047,1.8263638312819635e-05,1.2581141727502606e-09,0.00567233845855257,1476875505.360658,45606160.65916928,1477579500.4751415,-7.931541564451116e-08,4.090257233877221e-07,4.1664490582714547e-07,1.411215555313335e+27,Pe1,1.0,1.866514515423309e-11,0.0005923293351103215,0.0005923293351103214,1.752487096307399e-05
