TimeStep,Time_s,Porosity,Permeability_mD,k_k0,DissolutionRate,SurfaceArea_cm2,GrainVolume_cm3,InjectedPV,OutletHConc,Tortuosity,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,C_molL,pH,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,case,Pe,k0_m2,InjectedPV_norm,Time_norm,PoreVolumeToSurface_m
1,0.1,0.545,18827.4347295717,1.0,5.35734968484207e-09,0.74663784059448,0.0010917577054634,0.00305753759582957,0.0,1.21863423537651,0.0016666666666666668,0.545,0.545,True,0.0010001,7.0,24068.475044878887,1.823142881860567e-05,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,1.4114610550198504e+27,Pe0p1,0.1,1.8581234013843514e-11,6.983630370411751e-06,6.983630370411755e-06,1.7514646431934588e-05
2,0.2,0.545,18827.4347295717,1.0,5.3573496848338e-09,0.746637248134772,0.00109175568734088,0.00611507519165915,2.22044604925031e-16,1.21863423537651,0.0033333333333333335,0.545,0.545,True,0.0010001,7.0,24068.475044878887,1.823142881860567e-05,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,1.4114610550198504e+27,Pe0p1,0.1,1.8581234013843514e-11,1.3967260740823525e-05,1.396726074082351e-05,1.7514627953893716e-05
3,0.4,0.545,18827.4347295717,1.0,5.35735393591454e-09,0.746634653321433,0.00109174746964216,0.0122301503833183,2.22044604925031e-16,1.21863398459518,0.006666666666666667,0.545,0.545,True,0.0010001,7.0,24068.47999790356,1.8231426942693248e-05,1.2591086377804992e-09,0.005666832376516574,1478876513.9364321,45038793.11487565,1479562177.2531288,-8.119161365733584e-08,4.094664264669796e-07,4.1743841765213764e-07,1.411933506656363e+27,Pe0p1,0.1,1.8581234013843514e-11,2.793452148164705e-05,2.793452148164702e-05,1.751455698935249e-05
4,0.8,0.545,18827.4347295717,1.0,5.35737255457211e-09,0.746624983092363,0.00109171873055463,0.0244603007666366,2.22044604925031e-16,1.21863398459518,0.013333333333333334,0.545,0.545,True,0.0010001,7.0,24068.47999790356,1.8231426942693248e-05,1.2591086377804992e-09,0.005666832376516574,1478876513.9364321,45038793.11487565,1479562177.2531288,-8.119161365733584e-08,4.094664264669796e-07,4.1743841765213764e-07,1.411933506656363e+27,Pe0p1,0.1,1.8581234013843514e-11,5.58690429632941e-05,5.586904296329404e-05,1.751432277854e-05
5,1.6,0.545,18827.4347295717,1.0,5.35744194284903e-09,0.746596042206294,0.0010916349134465,0.0489206015332732,2.22044604925031e-16,1.2186338597214,0.02666666666666667,0.545,0.545,True,0.0010001,7.0,24068.48246420798,1.8231426008603403e-05,1.2591088313172497e-09,0.0056668329578717265,1478876675.9152277,45038850.5625777,1479562340.9056044,-7.877485907456174e-08,4.101139170970552e-07,4.1761094743661514e-07,1.4113500901444743e+27,Pe0p1,0.1,1.8581234013843514e-11,0.0001117380859265882,0.00011173808592658808,1.7513656979211976e-05
6,3.2,0.5451,18833.8181813924,1.00033905053516,5.35764961756065e-09,0.74652598297099,0.00109142680760839,0.0978412030665464,2.22044604925031e-16,1.21871261371758,0.05333333333333334,0.5451,0.5451,True,0.0010001,7.0,24063.18445769358,1.8233432910431657e-05,1.2591198676372764e-09,0.005667505035909532,1478720744.779042,45130291.203067,1479409268.669072,-7.938448946505016e-08,4.0996745454092984e-07,4.1758257979757257e-07,1.411177861125755e+27,Pe0p1,0.1,1.8587533991179785e-11,0.0002234761718531764,0.00022347617185317615,1.751902506109303e-05
7,6.4,0.54545,18923.4850388429,1.00510161424808,5.3581524169867e-09,0.746380978137227,0.00109095992529847,0.195682406133093,2.22044604925031e-16,1.21822216091196,0.10666666666666667,0.54545,0.54545,True,0.0010001,7.0,23974.189130478564,1.8267244006151798e-05,1.2581024381733699e-09,0.005673402894087003,1476515977.640348,45772394.04358683,1477225285.5552242,-8.016048276820107e-08,4.0890939990182557e-07,4.166924529262585e-07,1.4105983868598253e+27,Pe0p1,0.1,1.8676028302035464e-11,0.0004469523437063533,0.0004469523437063523,1.7539674078338106e-05
8,12.8,0.54565,18974.5653238366,1.00781469150621,5.35919338403109e-09,0.746105434675064,0.00108996386655654,0.391364812266185,2.22044604925031e-16,1.21910831589282,0.21333333333333335,0.54565,0.54565,True,0.0010001,7.0,23901.030598223475,1.8295179698464032e-05,1.2557284091113552e-09,0.00567133768194813,1473850337.0560129,45557353.89597202,1474554267.7480967,-8.051737849145364e-08,4.0744545293124584e-07,4.1532498763436333e-07,1.4134504244043243e+27,Pe0p1,0.1,1.8726440625466387e-11,0.0008939046874127043,0.0008939046874127046,1.7544278977433294e-05
9,25.6,0.5465,19083.7851282926,1.01361579006397,5.36117258245394e-09,0.745577304402734,0.00108786112084215,0.782729624532371,2.22044604925031e-16,1.22071961746299,0.4266666666666667,0.5465,0.5465,True,0.0010001,7.0,23769.843486556725,1.8345596297331538e-05,1.252572445208315e-09,0.005672638731367909,1469309408.9773614,45811570.91158105,1470023414.5546083,-8.002717987938809e-08,4.0583875928915745e-07,4.136537780086272e-07,1.415077534858022e+27,Pe0p1,0.1,1.8834232195305457e-11,0.001787809374825411,0.0017878093748254092,1.7583027330026928e-05
10,51.2,0.5486,19407.8067693067,1.03082586916758,5.36497017328636e-09,0.744270654810137,0.00108301227551588,1.56545924906474,2.22044604925031e-16,1.22119785160067,0.8533333333333334,0.5486,0.5486,True,0.0010001,7.0,23453.621378771906,1.8468857845640457e-05,1.2485040634015566e-09,0.005692119080215671,1460419928.9506469,48105165.353769794,1461211988.6621263,-8.194018985845897e-08,4.0260710065015337e-07,4.108608915532884e-07,1.4120068494825137e+27,Pe0p1,0.1,1.915401670252651e-11,0.003575618749650817,0.0035756187496508184,1.7684660700605055e-05
