n_frequencies,n_theta,side,quantitative_excludes_interface,peak_abs,peak_signed,peak_signed_polarity,peak_time_s,peak_time_us,peak_z_m,peak_z_mm,peak_abs_relative_change_from_previous,peak_time_shift_from_previous_us,peak_polarity_changed_from_previous
48,48,R_E,True,0.0007726561372204884,-0.0007726561372204884,-1.0,7.125938281901583e-05,71.25938281901583,-0.0009999999999999835,-0.9999999999999836,,,False
96,96,R_E,True,0.0008389826661566949,-0.0008389826661566949,-1.0,7.125938281901583e-05,71.25938281901583,-0.0009999999999999835,-0.9999999999999836,0.08584223400438644,0.0,False
192,192,R_E,True,0.0008667433899416438,-0.0008667433899416438,-1.0,7.125938281901583e-05,71.25938281901583,-0.0009999999999999835,-0.9999999999999836,0.03308855463262229,0.0,False
48,48,T_E,True,0.00011945526020618798,-0.00011945526020618798,-1.0,3.416180150125104e-05,34.161801501251034,0.0010000000000000182,1.0000000000000182,,,False
96,96,T_E,True,0.0001550742408863586,-0.0001550742408863586,-1.0,0.00014772310258548787,147.72310258548788,0.0010000000000000182,1.0000000000000182,0.2981784194240573,113.56130108423685,False
192,192,T_E,True,0.00016882190136602039,-0.00016882190136602039,-1.0,7.179316096747288e-05,71.79316096747289,0.0010000000000000182,1.0000000000000182,0.08865212172624036,-75.929941618015,False
48,48,all,True,0.0007726561372204884,-0.0007726561372204884,-1.0,7.125938281901583e-05,71.25938281901583,-0.0009999999999999835,-0.9999999999999836,,,False
96,96,all,True,0.0008389826661566949,-0.0008389826661566949,-1.0,7.125938281901583e-05,71.25938281901583,-0.0009999999999999835,-0.9999999999999836,0.08584223400438644,0.0,False
192,192,all,True,0.0008667433899416438,-0.0008667433899416438,-1.0,7.125938281901583e-05,71.25938281901583,-0.0009999999999999835,-0.9999999999999836,0.03308855463262229,0.0,False
