distance_from_interface_m,distance_from_interface_mm,common_arrival_time_s,common_arrival_time_us,time_after_T0_us,fluid_z_m,porous_z_m,fluid_signed,porous_signed,signed_product,polarity_reversed,fluid_abs,porous_abs
0.001,1.0,7.125938281901583e-05,71.25938281901583,4.143777297613391,-0.0009999999999999835,0.0010000000000000182,-0.0008477186893619963,-0.00012164724245919855,1.0312264094201278e-07,False,0.0008477186893619963,0.00012164724245919855
0.002,2.0,7.125938281901583e-05,71.25938281901583,4.143777297613391,-0.0019999999999999844,0.002000000000000019,-0.0007777921453468184,-0.00011548354436503155,8.982219372393236e-08,False,0.0007777921453468184,0.00011548354436503155
0.005,5.0,7.125938281901583e-05,71.25938281901583,4.143777297613391,-0.004999999999999987,0.005000000000000022,-0.0006185034106293626,-9.7264984961224e-05,6.015872493333071e-08,False,0.0006185034106293626,9.7264984961224e-05
0.01,10.0,7.125938281901583e-05,71.25938281901583,4.143777297613391,-0.009999999999999992,0.010000000000000026,-0.00044903657372866146,-7.399738763321909e-05,3.322753340769233e-08,False,0.00044903657372866146,7.399738763321909e-05
