n_frequencies,n_theta,side,quantitative_excludes_interface,peak_abs,peak_signed,peak_signed_polarity,peak_time_s,peak_time_us,peak_z_m,peak_z_mm,peak_abs_relative_change_from_previous,peak_time_shift_from_previous_us,peak_polarity_changed_from_previous
48,48,R_E,True,1.250259411913751e-05,1.250259411913751e-05,1.0,7.125938281901583e-05,71.25938281901583,-0.0009999999999999835,-0.9999999999999836,,,False
96,96,R_E,True,1.2964707013264101e-05,1.2964707013264101e-05,1.0,7.125938281901583e-05,71.25938281901583,-0.0009999999999999835,-0.9999999999999836,0.03696136095622291,0.0,False
192,192,R_E,True,1.3016857422330343e-05,1.3016857422330343e-05,1.0,7.125938281901583e-05,71.25938281901583,-0.0009999999999999835,-0.9999999999999836,0.0040224903665687746,0.0,False
48,48,T_E,True,2.1622561145629685e-06,-2.1622561145629685e-06,-1.0,3.843202668890742e-05,38.43202668890742,0.0010000000000000182,1.0000000000000182,,,False
96,96,T_E,True,2.075551558169182e-06,2.075551558169182e-06,1.0,7.192660550458715e-05,71.92660550458714,0.0010000000000000182,1.0000000000000182,-0.04009911490587275,33.49457881567972,True
192,192,T_E,True,2.0760360793845866e-06,2.0760360793845866e-06,1.0,7.192660550458715e-05,71.92660550458714,0.0010000000000000182,1.0000000000000182,0.00023344214866529328,0.0,False
48,48,all,True,1.250259411913751e-05,1.250259411913751e-05,1.0,7.125938281901583e-05,71.25938281901583,-0.0009999999999999835,-0.9999999999999836,,,False
96,96,all,True,1.2964707013264101e-05,1.2964707013264101e-05,1.0,7.125938281901583e-05,71.25938281901583,-0.0009999999999999835,-0.9999999999999836,0.03696136095622291,0.0,False
192,192,all,True,1.3016857422330343e-05,1.3016857422330343e-05,1.0,7.125938281901583e-05,71.25938281901583,-0.0009999999999999835,-0.9999999999999836,0.0040224903665687746,0.0,False
