z_m,z_mm,offset_D_mm,r_mm,theta_deg,pride_signed_peak,pride_peak_abs,pride_signed_norm,pride_abs_norm,pride_signed_side_norm,pride_abs_side_norm,dipole_signed,dipole_abs,dipole_signed_norm,dipole_abs_norm,dipole_signed_side_norm,dipole_abs_side_norm,side,snapshot_index,snapshot_Time_s,snapshot_Porosity
0.10000000000000017,100.00000000000017,45.0,109.65856099730671,24.227745317954138,2193685367892232.5,2193685367892232.5,0.6017792854686341,0.6017792854686341,0.8007770466295175,0.8007770466295175,75.83546820582984,75.83546820582984,0.398986802615792,0.398986802615792,0.398986802615792,0.398986802615792,porous/transmitted,24,5769.2,0.75115
0.09900000000000017,99.00000000000017,45.0,108.74741376235131,24.443954780416497,2201801403968953.5,2201801403968953.5,0.6040057042899346,0.6040057042899346,0.8037397027583223,0.8037397027583223,76.98008434488435,76.98008434488435,0.40500887572153543,0.40500887572153543,0.40500887572153543,0.40500887572153543,porous/transmitted,24,5769.2,0.75115
0.09800000000000017,98.00000000000017,45.0,107.83784122468343,24.663814712463513,2210016049002991.5,2210016049002991.5,0.6062591738582308,0.6062591738582308,0.8067383548374886,0.8067383548374886,78.14703768878732,78.14703768878732,0.41114846969386964,0.41114846969386964,0.41114846969386964,0.41114846969386964,porous/transmitted,24,5769.2,0.75115
0.09700000000000017,97.00000000000017,45.0,106.92988356862656,24.88741171092448,2218329503740197.8,2218329503740197.8,0.6085397492428124,0.6085397492428124,0.8097730761467458,0.8097730761467458,79.33675852305944,79.33675852305944,0.41740784835799627,0.41740784835799627,0.41740784835799627,0.41740784835799627,porous/transmitted,24,5769.2,0.75115
0.09600000000000017,96.00000000000017,45.0,106.0235822824339,25.11483488614452,2226741883938478.2,2226741883938478.2,0.6108474621987847,0.6108474621987847,0.8128439089420505,0.8128439089420505,80.54967849469497,80.54967849469497,0.4237892827021241,0.4237892827021241,0.4237892827021241,0.4237892827021241,porous/transmitted,24,5769.2,0.75115
0.09500000000000017,95.00000000000017,45.0,105.11898020814336,25.34617594194666,2235253213278157.8,2235253213278157.8,0.6131823192222154,0.6131823192222154,0.8159508618676055,0.8159508618676055,81.78622976412093,81.78622976412093,0.4302950464157427,0.4302950464157427,0.4302950464157427,0.4302950464157427,porous/transmitted,24,5769.2,0.75115
0.09400000000000017,94.00000000000017,45.0,104.21612159354247,25.581529257938847,2243863415782533.0,2243863415782533.0,0.6155442994709153,0.6155442994709153,0.8190939071890776,0.8190939071890776,83.04684405656118,83.04684405656118,0.43692741089864356,0.43692741089864356,0.43692741089864356,0.43692741089864356,porous/transmitted,24,5769.2,0.75115
0.09300000000000017,93.00000000000017,45.0,103.31505214633553,25.82099197418924,2252572307715591.0,2252572307715591.0,0.6179333525417915,0.6179333525417915,0.8222729778359638,0.8222729778359638,84.3319516034768,84.3319516034768,0.44368863969160915,0.44368863969160915,0.44368863969160915,0.44368863969160915,porous/transmitted,24,5769.2,0.75115
0.09200000000000016,92.00000000000017,45.0,102.41581909060743,26.064664078285713,2261379588921521.5,2261379588921521.5,0.620349396095074,0.620349396095074,0.8254879642401887,0.8254879642401887,85.64197996397235,85.64197996397235,0.4505809822755763,0.4505809822755763,0.4505809822755763,0.4505809822755763,porous/transmitted,24,5769.2,0.75115
0.09100000000000016,91.00000000000017,45.0,101.518471225684,26.312648494788803,2270284833568456.0,2270284833568456.0,0.6227923133151058,0.6227923133151058,0.8287387109572246,0.8287387109572246,86.97735271521263,86.97735271521263,0.4576066671816353,0.4576066671816353,0.4576066671816353,0.4576066671816353,porous/transmitted,24,5769.2,0.75115
