Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,ElectrolyteConcentration_input_molL,FluidConductivity_input_S_m,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_waveform_schakel2011,Amax_waveform_schakel2011_RE,Amax_waveform_schakel2011_TE,Amax_waveform_schakel2011_RE_fixed_receiver_z_m,Amax_waveform_schakel2011_TE_fixed_receiver_z_m,Amax_waveform_schakel2011_RE_fixed_receiver_distance_m,Amax_waveform_schakel2011_TE_fixed_receiver_distance_m,Amax_waveform_spectral,Amax_waveform_spectral_RE,Amax_waveform_spectral_TE,Amax_waveform_schakel2011_norm,Amax_waveform_schakel2011_RE_norm,Amax_waveform_schakel2011_TE_norm,Amax_waveform_spectral_norm,Amax_waveform_spectral_RE_norm,Amax_waveform_spectral_TE_norm
0.1,0.0016666666666666668,0.545,0.545,True,18827.4342673194,1.8581233557635945e-11,1.2186342353923165,0.0,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.47563549736,1.8231428594914342e-05,1.2591082645384715e-09,0.005666831209081565,1478876233.5557947,45038664.093483075,1479561893.0749397,-7.906412369697315e-08,4.099937265674119e-07,4.1754759187499094e-07,1.4115644863227746e+27,1.0,1.0,1.0,1.0,0.0013076193749158916,0.0013076193749158916,0.001161960737903858,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.0013076193749158916,0.0013076193749158916,0.001161960737903858,1.0,1.0,1.0,1.0,1.0,1.0
0.2,0.0033333333333333335,0.545,0.545,True,18827.4342673194,1.8581233557635945e-11,1.218633984611199,2.220446049250313e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.48058851795,1.823142671900353e-05,1.2591086532136972e-09,0.005666832376603277,1478876538.564032,45038790.00262761,1479562201.774577,-7.94467649490143e-08,4.099238287688543e-07,4.175515942412158e-07,1.411550823867671e+27,1.0000002086425979,1.0000095854132625,1.00000030869087,1.000000206027261,0.0013076196937627696,0.0013076196937627696,0.0011619607841689469,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.0013076196937627696,0.0013076196937627696,0.0011619607841689469,1.0000002438376825,1.0000002438376825,1.000000039816396,1.0000002438376825,1.0000002438376825,1.000000039816396
0.4,0.006666666666666667,0.545,0.545,True,18827.4342673194,1.8581233557635945e-11,1.2186292371620637,3.2403298249669055e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.574352793315,1.8231391206759328e-05,1.259116011125418e-09,0.005666854478636952,1478882337.1017883,45041158.13481401,1479568069.7141895,-7.993587974670762e-08,4.0978282815977545e-07,4.1750654021883793e-07,1.411702054737378e+27,1.000004174640668,0.999901683887174,1.0000061524391228,1.0000041062728937,0.0013076257367893144,0.0013076257367893144,0.0011619616537981157,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.0013076257367893144,0.0013076257367893144,0.0011619616537981157,1.0000048652333735,1.0000048652333735,1.000000788231674,1.0000048652333735,1.0000048652333735,1.000000788231674
0.8,0.013333333333333334,0.5452,0.5452,True,18912.457689704042,1.866514515423309e-11,1.21789285995289,9.598434253580758e-14,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23983.656259148047,1.8263638312819635e-05,1.2581141727502606e-09,0.00567233845855257,1476875505.360658,45606160.65916928,1477579500.4751415,-7.931541564451116e-08,4.090257233877221e-07,4.1664490582714547e-07,1.411215555313335e+27,0.9986601489203819,0.9978381241673746,0.9992104794986988,1.0009718393345084,0.0013059278861465534,0.0013059278861465534,0.0011593000855525987,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.0013059278861465534,0.0013059278861465534,0.0011593000855525987,0.9987064364433672,0.9987064364433672,0.997710204601182,0.9987064364433672,0.9987064364433672,0.997710204601182
1.6,0.02666666666666667,0.5456,0.5456,True,19096.404188539967,1.8846686239887688e-11,1.2167284910382365,5.908556012546752e-12,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23792.807097252393,1.833674104060399e-05,1.2552175178948796e-09,0.00568187991438118,1472008090.0523236,46567382.24826144,1472744491.848109,-8.049387412145462e-08,4.0641396148242573e-07,4.1430854668823717e-07,1.411948136795735e+27,0.9953922838519028,0.9922426922109432,0.9969099189059663,1.0026555767666943,0.0013017212656202559,0.0013017212656202559,0.0011535618015601056,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.0013017212656202559,0.0013017212656202559,0.0011535618015601056,0.9954894295627769,0.9954894295627769,0.9927717554735077,0.9954894295627769,0.9954894295627769,0.9927717554735077
3.2,0.05333333333333334,0.54655,0.54655,True,19206.754419988876,1.895559345446501e-11,1.2173810722145244,4.974040408497345e-11,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23684.595275229,1.8378582390446086e-05,1.2538677414510415e-09,0.005688692269213355,1468795237.9233289,47429359.67507208,1469560817.0829256,-7.959525778004704e-08,4.059002170902186e-07,4.13630742685984e-07,1.4099247971086374e+27,0.9932405152911655,0.9906193946145914,0.9958379090702332,1.003857722124625,0.0012984349349861154,0.0012984349349861154,0.001149086968319711,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.0012984349349861154,0.0012984349349861154,0.001149086968319711,0.992976213028071,0.992976213028071,0.9889206501009914,0.992976213028071,0.992976213028071,0.9889206501009914
6.4,0.10666666666666667,0.5486,0.5486,True,19660.610739832424,1.940351483137086e-11,1.218785975072828,1.270465007518086e-10,,,1.270465007518086e-07,6.896037292243748,0.0010001270465007518,-0.06364713417612823,3141592.653589793,45.0,23197.861346143534,1.8570389777856845e-05,1.2182606286734988e-09,0.005702799836035697,1423838032.17611,48027434.5034826,1424647807.8234367,-7.804971470609557e-08,3.827939688802362e-07,3.9066991255634997e-07,1.4445050413794167e+27,0.962884901599232,0.9356296627219255,0.9675582815112841,1.0063472204530266,0.0012577842775140604,0.0012577842775140604,0.0011099754205720351,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.0012577842775140604,0.0012577842775140604,0.0011099754205720351,0.9618886823200852,0.9618886823200852,0.9552606937256737,0.9618886823200852,0.9618886823200852,0.9552606937256737
12.8,0.21333333333333335,0.5536,0.5536,True,21083.42707084578,2.0807725420068454e-11,1.218436999623884,1.985496211332972e-10,,,1.985496211332972e-07,6.702130937307604,0.0010001985496211332,-0.061125675085875276,3141592.653589793,45.0,21835.764143720044,1.9140831325765707e-05,1.1458008529770412e-09,0.005755303987953161,1329648491.650224,51147814.18486658,1330631883.8219702,-7.303001082247271e-08,3.375086655753861e-07,3.453193910269278e-07,1.514046311977939e+27,0.8993418187167205,0.8270180399706689,0.9100097944294223,1.0156123899949254,0.0011732977050029222,0.0011732977050029222,0.0010251028003931458,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.0011732977050029222,0.0011732977050029222,0.0010251028003931458,0.8972776998493087,0.8972776998493087,0.8822181050991449,0.8972776998493087,0.8972776998493087,0.8822181050991449
25.6,0.4266666666666667,0.5626,0.5626,True,23083.06107283109,2.27812108081e-11,1.217540455356282,3.4185115859486686e-10,,,3.4185115859486687e-07,6.466162943859585,0.0010003418511585949,-0.05805680351303906,3141592.653589793,45.0,20283.342517615634,1.9859816493088788e-05,1.0667110005187182e-09,0.005852321363436997,1221224788.1297557,57246084.04115063,1222565784.4388633,-6.711206222529082e-08,2.9155056623597975e-07,2.9917513527807037e-07,1.5833055389898854e+27,0.8263025630499531,0.716505474105668,0.8471956149932215,1.0327326061976523,0.0010758490375612421,0.0010758490375612421,0.000922829447825819,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.0010758490375612421,0.0010758490375612421,0.000922829447825819,0.8227539742828013,0.8227539742828013,0.7942001977541645,0.8227539742828013,0.8227539742828013,0.7942001977541645
50.6,0.8433333333333334,0.57925,0.57925,True,26659.866350621094,2.631124327631393e-11,1.2185548427165693,5.935806402869835e-10,,,5.935806402869834e-07,6.226520272071421,0.001000593580640287,-0.054939317405253194,3141592.653589793,45.0,18066.73158480514,2.1042880908773355e-05,9.800555012489576e-10,0.006020297751724904,1094298072.9716198,66917439.81003471,1096342198.5220356,-6.437727080112966e-08,2.4501465160175844e-07,2.533310334233314e-07,1.643327524170446e+27,0.7409911026050642,0.6067117577801188,0.7783727014199202,1.0623746375358558,0.0009615274720773056,0.0009615274720773056,0.0007987710493568,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.0009615274720773056,0.0009615274720773056,0.0007987710493568,0.7353267246741069,0.7353267246741069,0.6874337688877153,0.7353267246741069,0.7353267246741069,0.6874337688877153
